first_author,File Name,population structure',genetic structure',spatial structure',genomic structure',measured_in_time_series_data,hypothesized_driver_of_change,increase_or_decrease,method_of_estimating,raw_stats
,10.1002_ece3.2402.pdf,No,Yes,No,No,NA,NA,NA,NA,NA
Schmid,10.1002_ece3.3699.pdf,Yes,Yes,No,No,yes,habitat loss to ariculture and urbanization; anthropogenic,none,"pairwise observed heterozygosity, pairwise expected heterozygoity, allelic richness, pairwise Fst (Weir and Cockerham)",see doc
Cammen,10.1002_ece3.4143.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
,10.1002_evl3.143.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1002_evl3.269.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1007_s00239-021-10008-2.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1007_s11262-016-1332-z.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cell.2019.03.049.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.chaos.2020.110018.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2015.08.032.pdf,No,No,No,Yes,NA,NA,NA,NA,NA
,10.1016_j.cub.2016.10.061.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2023.01.064.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2023.03.084.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2024.01.056.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.envres.2023.115695.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jasrep.2020.102364.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jfma.2018.01.019.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jgg.2020.10.002.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2013.03.035.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2015.02.023.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2019.03.016.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2021.105153.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2021.105184.pdf,No,No,No,No,NA,NA,NA,NA,NA
Castiglioni,10.1016_j.meegid.2024.105623.pdf,No,Yes,No,No,no,NA,NA,NA,NA
,10.1016_j.soilbio.2019.05.004.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.watres.2022.118556.pdf,No,No,No,No,NA,NA,NA,NA,NA
Huynh,10.1016_j.ympev.2023.107822.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1021_acs.est.2c00793.pdf,No,No,No,No,NA,NA,NA,NA,NA
Bendall,10.1038_ismej.2015.241.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1038_ncomms3172.pdf,No,No,No,No,NA,NA,NA,NA,NA
Qian,10.1038_s41437-019-0264-5.pdf,Yes,Yes,No,No,yes,ecogeographical adaptation,increase,Fst,
Iranmehr,10.1038_s41467-021-21281-6.pdf,Yes,No,No,No,yes,changes in oxygen concentration,none,PCA,see doc
,10.1038_s41467-022-31622-8.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1038_s41467-023-43391-z.pdf,No,No,No,No,NA,NA,NA,NA,NA
Ramos-Madrigal,10.1038_s41477-019-0437-5.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Turbek,10.1038_s41558-023-01696-3.pdf,Yes,No,No,No,yes,increases in temperature; anthropogenic climate change,decrease,PCA,see doc
Gutaker,10.1038_s41559-019-0921-3.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1038_s41559-020-1271-x.pdf,No,No,No,No,NA,NA,NA,NA,NA
Frei,10.1038_s41559-022-01665-7.pdf,Yes,No,No,No,yes,Habitat diversity and water depth changes; anthropogenic eutrophication,decrease,"PCA, Fst, and admixture",
,10.1038_s41559-022-01816-w.pdf,No,No,No,No,NA,NA,NA,NA,NA
Ferraz,10.1038_s41559-023-02114-9.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Sun,10.1038_s41559-023-02185-8.pdf,Yes,Yes,No,Yes,no,NA,NA,NA,NA
,10.1038_s41564-022-01157-1.pdf,No,No,No,No,NA,NA,NA,NA,NA
van der Valk,10.1038_s41586-021-03224-9.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Bergstrom,10.1038_s41586-022-04824-9.pdf,Yes,Yes,No,No,yes,glaciation,none,PCA,"see doc. This paper barely touches this topic, its just this one graph. Maybe double check to see if worth including in this section. "
Poyet,10.1038_s41591-019-0559-3.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1038_srep38915.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1073_pnas.1400378111.pdf,No,No,No,No,NA,NA,NA,NA,NA
Lindo,10.1073_pnas.1620410114.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Burghardt,10.1073_pnas.1714246115.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1073_pnas.2201521119.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1073_pnas.242608099.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1080_22221751.2022.2040921.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_evolut_qpad054.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evaa036.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evaa073.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evaa178.pdf,No,No,No,No,NA,NA,NA,NA,NA
Parejo,10.1093_gbe_evaa188.pdf,Yes,Yes,No,No,yes,"Apicultural practices; pesticide use, agricultural practices",none,"PCA, Fst, and admixture","See doc for PCA and admixture. Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009"
Maddamsetti,10.1093_gbe_evab070.pdf,No,Yes,No,No,no,NA,NA,NA,NA
,10.1093_gbe_evab154.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evab237.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evab239.pdf,No,No,No,No,NA,NA,NA,NA,NA
Schick,10.1093_gbe_evac074.pdf,Yes,No,Yes,No,no,NA,NA,NA,NA
,10.1093_gbe_evac153.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_gbe_evad113.pdf,No,No,No,No,NA,NA,NA,NA,NA
Gill,10.1093_gbe_evae063.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Larsson,10.1093_gbe_evae114.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Cridland,10.1093_gbe_evy007.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1093_genetics_iyab142.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_icb_icac098.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_infdis_jix298.pdf,No,No,No,No,NA,NA,NA,NA,NA
Parvizi,10.1093_jeb_voae068.pdf,Yes,Yes,No,Yes,yes,pesticide use,none,"PCA, Fst, and admixture",see doc
Immel,10.1093_molbev_msab147.pdf,Yes,No,No,No,yes,bubonic plague,none,"PCA, admixture",see doc
Garg,10.1093_molbev_msab340.pdf,Yes,Yes,No,Yes,no,NA,NA,NA,NA
Aneli,10.1093_molbev_msac014.pdf,Yes,Yes,No,No,yes,the roman empire; anthropogenic,decrease,PCA,"see doc. ""There, we computed the median distances from the centroid of the IAA samples (excluding the two Mediaeval samples), the Roman Imperials and the Republicans, obtain- ing 0.0093, 0.0140, and 0.0101, respectively. Notably, the dis- tance distributions were not statistically different, thus suggesting that the extent of genetic heterogeneity of IAA individuals is comparable to that of the cosmopolitan Republican and Imperial Roman samples, the latter having experienced a remarkable degree of admixture with foreign Mediterranean groups, pushed by strong geopolitical contin- gencies (Antonio et al. 2019)."""
Dai,10.1093_molbev_msac179.pdf,Yes,Yes,No,No,yes,globalization; anthropogenic,decrease,PCA,see doc
Debray,10.1093_molbev_msac182.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Wu,10.1093_molbev_msac189.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Hempel,10.1093_molbev_msac241.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Ament-Velasquez,10.1093_molbev_msac242.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Linder,10.1093_molbev_msac248.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
,10.1093_molbev_msad108.pdf,No,No,No,No,NA,NA,NA,NA,NA
Poyraz,10.1093_molbev_msae053.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Wang,10.1093_molbev_msae108.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Angst,10.1093_molbev_msae128.pdf,Yes,No,Yes,No,yes,time and population isolation,increase,Fst,see doc
Lynd,10.1093_molbev_msq002.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Tobler,10.1093_molbev_mst205.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Baldwin-Brown,10.1093_molbev_msu048.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Skoglund,10.1093_molbev_msu192.pdf,Yes,Yes,Yes,No,yes,time,NA,"Fst, PCA",see pdf and supplement. This paper largely deals almost with how time and population structure interact. 
,10.1093_molbev_msu256.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_molbev_msu320.pdf,No,No,No,No,NA,NA,NA,NA,NA
Bailey,10.1093_molbev_msv033.pdf,No,No,Yes,No,no,NA,NA,NA,NA
,10.1093_molbev_msv248.pdf,No,No,No,No,NA,NA,NA,NA,NA
Wecek,10.1093_molbev_msw254.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Seabra,10.1093_molbev_msx247.pdf,No,Yes,No,No,no,NA,NA,NA,NA
,10.1093_molbev_msx254.pdf,No,No,No,No,NA,NA,NA,NA,NA
Vlachos,10.1093_molbev_msz183.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Billard,10.1093_ve_vead049.pdf,No,Yes,Yes,No,no,NA,NA,NA,NA
,10.1093_ve_veae012.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1093_ve_vex035.pdf,No,No,No,No,NA,NA,NA,NA,NA
Bialosuknia,10.1093_ve_vez020.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1098_rspb.2015.0801.pdf,No,No,No,No,NA,NA,NA,NA,NA
Stahlke,10.1098_rspb.2021.0577.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1098_rspb.2022.1857.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1098_rstb.2022.0190.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1099_MGEN.0.000553.pdf,No,No,No,No,NA,NA,NA,NA,NA
Diaz,10.1099_jgv.0.000258.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Aiewsakun,10.1099_mgen.0.001170.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Gauthier,10.1111_1755-0998.13167.pdf,Yes,Yes,No,No,yes,habitat loss; anthropogenic,increase,Rousset's Fst [Isolation by distance] and admixture,see doc
Novo,10.1111_1755-0998.13837.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Marshall,10.1111_cobi.13889.pdf,Yes,No,No,No,yes,reintroduction; in situ conservation; anthropogenic,none,"PCA, Fst, and admixture",see doc
,10.1111_eva.12594.pdf,No,No,No,No,NA,NA,NA,NA,NA
Howe,10.1111_eva.13656.pdf,Yes,No,No,No,yes,rearing in hatchery; captive breeding; anthropogenic,increase,PCA and pairwise Fst,see doc
,10.1111_evo.12849.pdf,No,No,No,No,NA,NA,NA,NA,NA
Benham,10.1111_gcb.17126.pdf,Yes,No,No,No,yes,"coastal habitat loss; urbanization, agriculture, and mining; anthropogenic",decrease,PCA and admixture,see doc
,10.1111_jam.15806.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1111_jeb.13764.pdf,No,No,No,No,NA,NA,NA,NA,NA
Johnson,10.1111_jeb.14152.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Therkildsen,10.1111_mec.12260.pdf,Yes,Yes,Yes,No,yes,overfishing; anthropogenic,none,Fsc,"Fsc= -0.01 ""However, our analysis of nonoutlier loci—which should reflect neutral evolution- ary forces—revealed temporally stable spatial differenti- ation between the sampling locations, indicating that the overall population structure has remained intact over the study period."""
Franks,10.1111_mec.13615.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1111_mec.15085.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1111_mec.15579.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1111_mec.15687.pdf,No,No,No,No,NA,NA,NA,NA,NA
Gompert,10.1111_mec.16111.pdf,Yes,Yes,No,No,yes,fragmented populations,none,"PCA, pairwise Fst",see doc
,10.1111_mec.16451.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1111_mec.16503.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1111_mec.16748.pdf,No,No,No,No,NA,NA,NA,NA,NA
Osborne,10.1111_mec.16760.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Besnier,10.1111_mec.16933.pdf,No,Yes,No,No,no,NA,NA,NA,NA
Kellner,10.1111_mec.17274.pdf,Yes,Yes,No,No,yes,hunting; anthropogenic factors,increase,PCA and admixture,"see doc. ""The assignment of modern groups to estimate genetic clusters strongly correlates with geography, while ancient groups do not."""
,10.1126_sciadv.aax0530.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_AEM.00179-18.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_JB.00587-20.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_JVI.01080-14.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_JVI.01519-08.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_JVI.02055-14.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_mBio.00987-21.pdf,No,No,No,No,NA,NA,NA,NA,NA
DebRoy,10.1128_mSystems.00495-21.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Hwang,10.1128_msystems.01477-21.pdf,Yes,No,No,No,yes,temperature,increased,PCA and pairwise Fst,see doc
,10.1128_spectrum.01219-22.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1128_spectrum.03128-23.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1186_1471-2148-13-46.pdf,No,No,No,No,NA,NA,NA,NA,NA
Somenzi,10.1186_s12711-024-00900-y.pdf,Yes,No,No,No,yes,genetic management; anthropogenic factors,none,PCA,see doc
,10.1186_s12862-016-0662-8.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1186_s12862-021-01789-7.pdf,No,No,No,No,NA,NA,NA,NA,NA
Muller-Girard,10.1186_s12862-022-02083-w.pdf,Yes,Yes,No,No,yes,translocation; anthropogenic factors,decrease,admixture,see doc
Brown,10.1186_s12864-016-3298-6.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1186_s12864-021-07700-4.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1186_s12866-017-1111-6.pdf,No,No,No,No,NA,NA,NA,NA,NA
Iwasaki,10.1186_s12866-021-02158-6.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1186_s13059-018-1503-4.pdf,No,No,No,No,NA,NA,NA,NA,NA
Otte,10.1186_s13059-021-02425-9.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1371_journal.pbio.0030300.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1371_journal.pbio.2001586.pdf,No,No,No,No,NA,NA,NA,NA,NA
Schpak,10.1371_journal.pbio.3002333.pdf,No,Yes,No,No,yes,range expansion and urbanization; anthropogenic factors,both,PCA and pairwise Fst,see doc
,10.1371_journal.pgen.1006585.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1371_journal.pgen.1009722.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1371_journal.pgen.1011333.pdf,No,No,No,No,NA,NA,NA,NA,NA
Qin,10.1371_journal.pntd.0011527.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1371_journal.pone.0147549.pdf,No,No,No,No,NA,NA,NA,NA,NA
Hubert,10.1371_journal.pone.0201838.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1371_journal.ppat.1008298.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1371_journal.ppat.1009744.pdf,No,No,No,No,NA,NA,NA,NA,NA
Carrasquilla,10.1371_journal.ppat.1010993.pdf,Yes,Yes,No,Yes,no,NA,NA,NA,NA
Yu,10.1371_journal.ppat.1012090.pdf,Yes,No,Yes,No,no,NA,NA,NA,NA
,10.15252_msb.20188462.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1534_g3.115.023200.pdf,No,No,No,No,NA,NA,NA,NA,NA
Barghi,10.1534_g3.117.043349.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1534_genetics.112.143396.pdf,No,No,No,No,NA,NA,NA,NA,NA
Kelly,10.1534_genetics.118.301824.pdf,Yes,No,Yes,No,no,NA,NA,NA,NA
,10.3201_eid1909.130377.pdf,No,No,No,No,NA,NA,NA,NA,NA
Deinstbier,10.3201_eid2701.191541.pdf,Yes,No,No,Yes,no,NA,NA,NA,NA
Rego,10.3390_genes11040400.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Norris,10.3390_pathogens12081065.pdf,Yes,No,No,No,no,NA,NA,NA,NA
Kupczok,10.3390_v11080720.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.3390_vaccines11101537.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.7554_eLife.03568.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.7554_eLife.64971.pdf,No,No,No,No,NA,NA,NA,NA,NA
