File Name,'linkage disequilibrium'
10.1002_ece3.2402.pdf,Yes
10.1002_ece3.3699.pdf,No
10.1002_ece3.4143.pdf,Yes
10.1002_evl3.143.pdf,No
10.1002_evl3.229.pdf,Yes
10.1002_evl3.269.pdf,Yes
10.1007_s00239-021-10008-2.pdf,No
10.1007_s11262-016-1332-z.pdf,No
10.1016_j.cell.2019.03.049.pdf,Yes
10.1016_j.chaos.2020.110018.pdf,No
10.1016_j.cub.2015.08.032.pdf,No
10.1016_j.cub.2016.10.061.pdf,No
10.1016_j.cub.2023.01.064.pdf,No
10.1016_j.cub.2023.03.084.pdf,No
10.1016_j.cub.2024.01.056.pdf,No
10.1016_j.envres.2023.115695.pdf,No
10.1016_j.jasrep.2020.102364.pdf,No
10.1016_j.jfma.2018.01.019.pdf,No
10.1016_j.jgg.2020.10.002.pdf,No
10.1016_j.meegid.2013.03.035.pdf,No
10.1016_j.meegid.2015.02.023.pdf,No
10.1016_j.meegid.2019.03.016.pdf,No
10.1016_j.meegid.2021.105153.pdf,No
10.1016_j.meegid.2021.105184.pdf,No
10.1016_j.meegid.2024.105623.pdf,No
10.1016_j.soilbio.2019.05.004.pdf,No
10.1016_j.watres.2022.118556.pdf,No
10.1016_j.ympev.2023.107822.pdf,No
10.1021_acs.est.2c00793.pdf,No
10.1038_ismej.2015.241.pdf,No
10.1038_ncomms3172.pdf,No
10.1038_s41437-019-0264-5.pdf,Yes
10.1038_s41437-022-00499-0.pdf,Yes
10.1038_s41467-021-21281-6.pdf,No
10.1038_s41467-022-31622-8.pdf,No
10.1038_s41467-023-43391-z.pdf,No
10.1038_s41477-019-0437-5.pdf,No
10.1038_s41558-023-01696-3.pdf,Yes
10.1038_s41559-019-0921-3.pdf,No
10.1038_s41559-020-1271-x.pdf,No
10.1038_s41559-022-01665-7.pdf,Yes
10.1038_s41559-022-01816-w.pdf,Yes
10.1038_s41559-023-02114-9.pdf,No
10.1038_s41559-023-02185-8.pdf,Yes
10.1038_s41564-022-01157-1.pdf,No
10.1038_s41586-021-03224-9.pdf,Yes
10.1038_s41586-022-04824-9.pdf,No
10.1038_s41591-019-0559-3.pdf,No
10.1038_srep38915.pdf,No
10.1073_pnas.1400378111.pdf,No
10.1073_pnas.1606587113.pdf,Yes
10.1073_pnas.1620410114.pdf,No
10.1073_pnas.1714246115.pdf,Yes
10.1073_pnas.2201521119.pdf,Yes
10.1073_pnas.242608099.pdf,No
10.1080_22221751.2022.2040921.pdf,No
10.1093_evolut_qpac061.pdf,Yes
10.1093_evolut_qpad054.pdf,Yes
10.1093_gbe_evaa036.pdf,No
10.1093_gbe_evaa073.pdf,No
10.1093_gbe_evaa178.pdf,No
10.1093_gbe_evaa188.pdf,Yes
10.1093_gbe_evab070.pdf,No
10.1093_gbe_evab154.pdf,Yes
10.1093_gbe_evab237.pdf,No
10.1093_gbe_evab239.pdf,Yes
10.1093_gbe_evac074.pdf,No
10.1093_gbe_evac114.pdf,No
10.1093_gbe_evac153.pdf,No
10.1093_gbe_evad113.pdf,Yes
10.1093_gbe_evae063.pdf,No
10.1093_gbe_evae114.pdf,Yes
10.1093_gbe_evy007.pdf,No
10.1093_genetics_iyab142.pdf,No
10.1093_icb_icac098.pdf,Yes
10.1093_infdis_jit618.pdf,Yes
10.1093_infdis_jix298.pdf,No
10.1093_jeb_voae068.pdf,Yes
10.1093_molbev_msab147.pdf,No
10.1093_molbev_msab340.pdf,Yes
10.1093_molbev_msac014.pdf,No
10.1093_molbev_msac179.pdf,No
10.1093_molbev_msac182.pdf,No
10.1093_molbev_msac189.pdf,No
10.1093_molbev_msac241.pdf,No
10.1093_molbev_msac242.pdf,No
10.1093_molbev_msac248.pdf,Yes
10.1093_molbev_msad108.pdf,No
10.1093_molbev_msae053.pdf,Yes
10.1093_molbev_msae108.pdf,Yes
10.1093_molbev_msae128.pdf,Yes
10.1093_molbev_msq002.pdf,Yes
10.1093_molbev_mst111.pdf,Yes
10.1093_molbev_mst205.pdf,Yes
10.1093_molbev_msu048.pdf,Yes
10.1093_molbev_msu192.pdf,No
10.1093_molbev_msu256.pdf,No
10.1093_molbev_msu320.pdf,Yes
10.1093_molbev_msv033.pdf,No
10.1093_molbev_msv248.pdf,Yes
10.1093_molbev_msw254.pdf,No
10.1093_molbev_msx247.pdf,Yes
10.1093_molbev_msx254.pdf,Yes
10.1093_molbev_msz183.pdf,No
10.1093_ve_vead049.pdf,No
10.1093_ve_veae012.pdf,No
10.1093_ve_vex035.pdf,No
10.1093_ve_vez020.pdf,No
10.1098_rspb.2015.0801.pdf,No
10.1098_rspb.2021.0577.pdf,No
10.1098_rspb.2022.1857.pdf,Yes
10.1098_rstb.2022.0190.pdf,No
10.1099_MGEN.0.000553.pdf,No
10.1099_jgv.0.000258.pdf,No
10.1099_mgen.0.001170.pdf,No
10.1111_1755-0998.13167.pdf,Yes
10.1111_1755-0998.13837.pdf,Yes
10.1111_cobi.13889.pdf,Yes
10.1111_eva.12594.pdf,No
10.1111_eva.13656.pdf,Yes
10.1111_evo.12849.pdf,No
10.1111_evo.13205.pdf,No
10.1111_gcb.17126.pdf,No
10.1111_jam.15806.pdf,No
10.1111_jeb.13764.pdf,No
10.1111_jeb.14152.pdf,No
10.1111_mec.12260.pdf,No
10.1111_mec.13615.pdf,No
10.1111_mec.13748.pdf,Yes
10.1111_mec.14240.pdf,Yes
10.1111_mec.15085.pdf,Yes
10.1111_mec.15579.pdf,Yes
10.1111_mec.15687.pdf,Yes
10.1111_mec.16111.pdf,Yes
10.1111_mec.16451.pdf,No
10.1111_mec.16503.pdf,No
10.1111_mec.16748.pdf,Yes
10.1111_mec.16760.pdf,Yes
10.1111_mec.16933.pdf,No
10.1111_mec.17274.pdf,Yes
10.1126_sciadv.aax0530.pdf,No
10.1128_AEM.00179-18.pdf,No
10.1128_JB.00587-20.pdf,No
10.1128_JVI.01080-14.pdf,No
10.1128_JVI.01519-08.pdf,No
10.1128_JVI.02055-14.pdf,No
10.1128_mBio.00987-21.pdf,No
10.1128_mSystems.00495-21.pdf,No
10.1128_msystems.01477-21.pdf,Yes
10.1128_spectrum.01219-22.pdf,No
10.1128_spectrum.03128-23.pdf,No
10.1186_1471-2148-13-46.pdf,No
10.1186_s12711-024-00900-y.pdf,Yes
10.1186_s12862-016-0662-8.pdf,No
10.1186_s12862-021-01789-7.pdf,No
10.1186_s12862-022-02083-w.pdf,Yes
10.1186_s12864-016-3298-6.pdf,No
10.1186_s12864-017-3485-0.pdf,Yes
10.1186_s12864-021-07700-4.pdf,No
10.1186_s12866-017-1111-6.pdf,No
10.1186_s12866-021-02158-6.pdf,No
10.1186_s13059-018-1503-4.pdf,No
10.1186_s13059-021-02425-9.pdf,Yes
10.1371_journal.pbio.0030300.pdf,No
10.1371_journal.pbio.1001637.pdf,No
10.1371_journal.pbio.2001586.pdf,No
10.1371_journal.pbio.3002333.pdf,Yes
10.1371_journal.pgen.1006585.pdf,No
10.1371_journal.pgen.1009722.pdf,No
10.1371_journal.pgen.1011333.pdf,No
10.1371_journal.pntd.0011527.pdf,No
10.1371_journal.pone.0147549.pdf,No
10.1371_journal.pone.0201838.pdf,Yes
10.1371_journal.ppat.1008298.pdf,No
10.1371_journal.ppat.1009744.pdf,No
10.1371_journal.ppat.1010993.pdf,Yes
10.1371_journal.ppat.1012090.pdf,No
10.15252_msb.20188462.pdf,No
10.1534_g3.115.023200.pdf,No
10.1534_g3.117.043349.pdf,Yes
10.1534_genetics.112.143396.pdf,Yes
10.1534_genetics.118.301824.pdf,Yes
10.3201_eid1909.130377.pdf,No
10.3201_eid2701.191541.pdf,No
10.3389_fmars.2020.00205.pdf,No
10.3390_d13110584.pdf,No
10.3390_genes11040400.pdf,Yes
10.3390_pathogens12081065.pdf,No
10.3390_v11080720.pdf,Yes
10.3390_vaccines11101537.pdf,No
10.7554_eLife.03568.pdf,No
10.7554_eLife.64971.pdf,No
