,File.Name,doi,year,authors,first_author.y,keywords,Title,Notes,Study.system,Taxon,Driver.of.change,Data.type,Experimental.design,Time.scale.years,Time.scale.generations,Driver.of.change.std
74,10.1093_molbev_msab340.pdf,10.1093/molbev/msab340,2022,Garg; KM; Chattopadhyay; B; Cros; E; Tomassi; S; Benedick; S; Edwards; DP; Rheindt; FE,Garg,Sundaland; Quaternary glacial cycles; babblers; ancient DNA; paleorivers,island biogeography revisited: museomics reveals affinities of shelf island birds determined by bathymetry and paleo-rivers; not by distance to mainland,,vertebrate,Pellorneum spp.,natural evolution,reduced representation,historical,107,32.42424242,natural evolution
76,10.1093_molbev_msac179.pdf,10.1093/molbev/msac179,2022,Dai; SS; Sulaiman; X; Isakova; J; Xu; WF; Abdulloevich; NT; Afanasevna; ME; Ibrohimovich; KB; Chen; X; Yang; WK; Wang; MS; Shen; QK; Yang; XY; Yao; YG; Aldashev; AA; Saidov; A; Chen; W; Cheng; LF; Peng; MS; Zhang; YP,Dai,Central Asia; Kyrgyz; Tajik; admixture; genome; Steppe; Tarim,the genetic echo of the tarim mummies in modern central asians,,vertebrate,Homo sapiens,natural evolution,reduced representation,historical,12000,400,natural evolution
14,10.1016_j.cub.2024.01.056.pdf,10.1016/j.cub.2024.01.056,2024,Laine; Jan; Mak; Sarah S. T.; Martins; Nuno F. G.; Chen; Xihan; Gilbert; M. Thomas P.; Jones; Felicity C.; Pedersen; Mikkel Winther; Romundset; Anders; Foote; Andrew D.,Laine,,Late Pleistocene stickleback environmental genomes reveal the chronology of freshwater adaptation,,vertebrate,Fish,natural evolution,WGS,historical,13070,6535,natural evolution
44,10.1038_s41586-021-03224-9.pdf,10.1038/s41586-021-03224-9,2021,van der Valk T.; Peƒçnerov√° P.; D√≠ez-del-Molino D.; Bergstr√∂m A.; Oppenheimer J.; Hartmann S.; Xenikoudakis G.; Thomas J.A.; Dehasque M.; Saƒülƒ±can E.; Fidan F.R.; Barnes I.; Liu S.; Somel M.; Heintzman P.D.; Nikolskiy P.; Shapiro B.; Skoglund P.; Hofreiter M.; Lister A.M.; G√∂therstr√∂m A.; Dal√©n L.,van,,Million-year-old DNA sheds light on the genomic history of mammoths,,vertebrate,Mammal,natural evolution,WGS,historical,780000,25161.29032,natural evolution
105,10.1098_rstb.2022.0190.pdf,10.1098/rstb.2022.0190,2023,Reid B.N.; Star B.; Pinsky M.L.,Reid,convergence; fisheries-induced evolution; parallel adaptation,detecting parallel polygenic adaptation to novel evolutionary pressure in wild populations: a case study in atlantic cod (gadus morhua),Time scale generation from https://www.fishbase.se/summary/gadus-morhua.html#:~:text=Generation%20time%3A%207.7%20(7.1%20%2D;based%20on%2057%20growth%20studies.,vertebrate,Gadus morhua,natural evolution,simulation,historical,107,14,natural evolution
10,10.1016_j.cub.2015.08.032.pdf,10.1016/j.cub.2015.08.032,2015,Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; J√≥nsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.,Der,,evolutionary genomics and conservation of the endangered przewalski's horse,generation time of 8 years from 10.1038/s41586-024-07597-5,vertebrate,equus ferus ssp. przewalskii,natural evolution,WGS,historical,138,17.25,natural evolution
13,10.1016_j.cub.2023.03.084.pdf,10.1016/j.cub.2023.03.084,2023,D√≠ez-del-Molino D.; Dehasque M.; Chac√≥n-Duque J.C.; Peƒçnerov√° P.; Tikhonov A.; Protopopov A.; Plotnikov V.; Kanellidou F.; Nikolskiy P.; Mortensen P.; Danilov G.K.; Vartanyan S.; Gilbert M.T.P.; Lister A.M.; Heintzman P.D.; van der Valk T.; Dal√©n L.,D√≠ez-del-Molino,,Genomics of adaptive evolution in the woolly mammoth,,vertebrate,Mammal,natural evolution,WGS,historical,700000,28000,natural evolution
27,10.1016_j.ympev.2023.107822.pdf,10.1016/j.ympev.2023.107822,2023,Huynh S.; Cloutier A.; Sin S.Y.W.,Huynh,African parrots; High-throughput sequencing; Historical DNA; Museomics; Museum genomics; Whole-genome re-sequencing,museomics and phylogenomics of lovebirds (psittaciformes; psittaculidae; agapornis) using low-coverage whole-genome sequencing,,vertebrate,Agapornis spp.,natural evolution,WGS,historical,106,71,natural evolution
42,10.1038_s41559-023-02185-8.pdf,10.1038/s41559-023-02185-8,2023,Sun X.; Liu Y.-C.; Tiunov M.P.; Gimranov D.O.; Zhuang Y.; Han Y.; Driscoll C.A.; Pang Y.; Li C.; Pan Y.; Velasco M.S.; Gopalakrishnan S.; Yang R.-Z.; Li B.-G.; Jin K.; Xu X.; Uphyrkina O.; Huang Y.; Wu X.-H.; Gilbert M.T.P.; O‚ÄôBrien S.J.; Yamaguchi N.; Luo S.-J.,Sun,,ancient dna reveals genetic admixture in china during tiger evolution,Mostly phylogenetic; maybe some small nuggets of demography?; article says 5 year gen time,vertebrate,Panthera tigris,natural evolution,WGS,historical,10500,2100,natural evolution
45,10.1038_s41586-022-04824-9.pdf,10.1038/s41586-022-04824-9,2022,Bergstrom; Anders; Stanton; David W. G.; Taron; Ulrike H.; Frantz; Laurent; Sinding; Mikkel-Holger S.; Ersmark; Erik; Pfrengle; Saskia; Cassatt-Johnstone; Molly; Lebrasseur; Ophelie; Girdland-Flink; Linus; Fernandes; Daniel M.; Ollivier; Morgane; Speidel; Leo; Gopalakrishnan; Shyam; Westbury; Michael V.; Ramos-Madrigal; Jazmin; Feuerborn; Tatiana R.; Reiter; Ella; Gretzinger; Joscha; Muenzel; Susanne C.; Swali; Pooja; Conard; Nicholas J.; Caroe; Christian; Haile; James; Linderholm; Anna; Androsov; Semyon; Barnes; Ian; Baumann; Chris; Benecke; Norbert; Bocherens; Herve; Brace; Selina; Carden; Ruth F.; Drucker; Dorothee G.; Fedorov; Sergey; Gasparik; Mihaly; Germonpre; Mietje; Grigoriev; Semyon; Groves; Pam; Hertwig; Stefan T.; Ivanova; Varvara V.; Janssens; Luc; Jennings; Richard P.; Kasparov; Aleksei K.; Kirillova; Irina V.; Kurmaniyazov; Islam; Kuzmin; Yaroslav V.; Kosintsev; Pavel A.; Laznickova-Galetova; Martina; Leduc; Charlotte; Nikolskiy; Pavel; Nussbaumer; Marc; O'Drisceoil; Coilin; Orlando; Ludovic; Outram; Alan; Pavlova; Elena Y.; Perri; Angela R.; Pilot; Malgorzata; Pitulko; Vladimir V.; Plotnikov; Valerii V.; Protopopov; Albert V.; Rehazek; Andre; Sablin; Mikhail; Seguin-Orlando; Andaine; Stora; Jan; Verjux; Christian; Zaibert; Victor F.; Zazula; Grant; Crombe; Philippe; Hansen; Anders J.; Willerslev; Eske; Leonard; Jennifer A.; Gotherstrom; Anders; Pinhasi; Ron; Schuenemann; Verena J.; Hofreiter; Michael; Gilbert; M. Thomas P.; Shapiro; Beth; Larson; Greger; Krause; Johannes; Dalen; Love; Skoglund; Pontus,Bergstrom,,Grey wolf genomic history reveals a dual ancestry of dogs,,vertebrate,Mammal,natural evolution,WGS,historical,100000 or 300000,30000 or 100000,natural evolution
49,10.1073_pnas.1620410114.pdf,10.1073/pnas.1620410114,2017,Lindo J.; Achilli A.; Perego U.A.; Archer D.; Valdiosera C.; Petzelt B.; Mitchell J.; Worl R.; Dixon E.J.; Fifield T.E.; Rasmussen M.; Willerslev E.; Cybulski J.S.; Kemp B.M.; DeGiorgio M.; Malhi R.S.,Lindo,,Ancient individuals from the North American Northwest Coast reveal 10;000 years of regional genetic continuity,,vertebrate,,natural evolution,WGS,historical,12300 or 10300,412,natural evolution
58,10.1093_gbe_evaa188.pdf,10.1093/gbe/evaa188,2020,Parejo; M; Wragg; D; Henriques; D; Charri√®re; JD; Estonba; A,Parejo,Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity,digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens,,invertebrate,Apis mellifera mellifera,natural evolution,WGS,historical,141,56,natural evolution
61,10.1093_gbe_evab237.pdf,10.1093/gbe/evab237,2021,Colbran L.L.; Johnson M.R.; Mathieson I.; Capra J.A.,Colbran,,Tracing the Evolution of Human Gene Regulation and Its Association with Shifts in Environment,,vertebrate,Mammal,natural evolution,WGS,historical,38000,1266.666667,natural evolution
68,10.1093_gbe_evy007.pdf,10.1093/gbe/evy007,2018,Cridland J.M.; Ramirez S.R.; Dean C.A.; Sciligo A.; Tsutsui N.D.,Cridland,Apis mellifera; demography; population genomics,genome sequencing of museum specimens reveals rapid changes in the genetic composition of honey bees in california,"8 weeks/generation from https://doi.org/10.1016/S0065-2806(06)33001-9
",invertebrate,apis mellifera,natural evolution,WGS,historical,105,682.5,natural evolution
75,10.1093_molbev_msac014.pdf,10.1093/molbev/msac014,2022,Aneli; S; Saupe; T; Montinaro; F; Solnik; A; Molinaro; L; Scaggion; C; Carrara; N; Raveane; A; Kivisild; T; Metspalu; M; Scheib; CL; Pagani; L,Aneli,ancient DNA; Dauni; Iron Age; Southern Italy,the genetic origin of daunians and the pan-mediterranean southern italian iron age context,,vertebrate,Homo sapiens,natural evolution,WGS,historical,"1,000",33,natural evolution
83,10.1093_molbev_msae053.pdf,10.1093/molbev/msae053,2024,Poyraz L.; Colbran L.L.; Mathieson I.,Poyraz,,Predicting Functional Consequences of Recent Natural Selection in Britain,,vertebrate,,natural evolution,WGS,historical,4500,167.2862454,natural evolution
94,10.1093_molbev_msw254.pdf,10.1093/molbev/msw254,2017,Wecek K.; Hartmann S.; Paijmans J.L.A.; Taron U.; Xenikoudakis G.; Cahill J.A.; Heintzman P.D.; Shapiro B.; Baryshnikov G.; Bunevich A.N.; Crees J.J.; Dobosz R.; Manaserian N.; Okarma H.; Tokarska M.; Turvey S.T.; Wojcik J.M.; Zy≈Ça W.; Szymura J.M.; Hofreiter M.; Barlow A.,Wecek,Admixture; Ancient DNA; Aurochs; Bison bonasus; Domestic cattle; European bison; Hybridization,complex admixture preceded and followed the extinction of wisent in the wild,generation time/range given in article,vertebrate,bison bonasus,natural evolution,WGS,historical,642,132.09,natural evolution
156,10.1371_journal.pbio.3002333.pdf,10.1371/journal.pbio.3002333,2023,Shpak M.; Ghanavi H.R.; Lange J.D.; Pool J.E.; Stensmyr M.C.,Shpak,,genomes from historical drosophila melanogaster specimens illuminate adaptive and demographic changes across more than 200 years of evolution,,invertebrate,Drosophila melanogaster,natural evolution,WGS,historical,223,8505,natural evolution
163,10.1371_journal.ppat.1009744.pdf,10.1371/journal.ppat.1009744,2021,Tohma; K; Lepore; CJ; Martinez; M; Degiuseppe; JI; Khamrin; P; Saito; M; Mayta; H; Nwaba; AUA; Ford-Siltz; LA; Green; KY; Galeano; ME; Zimic; M; Stupka; JA; Gilman; RH; Maneekarn; N; Ushijima; H; Parra; GI,Tohma,,genome-wide analyses of human noroviruses provide insights on evolutionary dynamics and evidence of coexisting viral populations evolving under recombination constraints,,virus,Norovirus,natural evolution,WGS,historical,47,"4,765",natural evolution
165,10.1371_journal.ppat.1012090.pdf,10.1371/journal.ppat.1012090,2024,Yu Q.; Ascensao J.A.; Okada T.; Boyd O.; Volz E.; Hallatschek O.,Yu,,Lineage frequency time series reveal elevated levels of genetic drift in SARS-CoV-2 transmission in England,,virus,covid,natural evolution,WGS,historical,1.75,127.75,natural evolution
174,10.3390_pathogens12081065.pdf,10.3390/pathogens12081065,2023,Norris M.H.; Zincke D.; Daegling D.J.; Krigbaum J.; McGraw W.S.; Kirpich A.; Hadfield T.L.; Blackburn J.K.,Norris,anthrax; Bacillus; Bcbva; emerging infections; phylogenomics; toxin,genomic and phylogenetic analysis of bacillus cereus biovar anthracis isolated from archival bone samples reveals earlier natural history of the pathogen,,microbes,Bacillus cereus biovar anthracis,natural evolution,WGS,historical,16,"186,880",natural evolution
177,10.7554_eLife.64971.pdf,10.7554/eLife.64971,2021,Dom√≠nguez-Andr√©s J.; Kuijpers Y.; Bakker O.B.; Jaeger M.; Xu C.-J.; Van der Meer J.W.M.; Jakobsson M.; Bertranpetit J.; Joosten L.A.B.; Li Y.; Netea M.G.,Dom√≠nguez-Andr√©s,,evolution of cytokine production capacity in ancient and modern european populations,uses published data; assumed generation time 30 years ,vertebrate,Homo sapiens,natural evolution,WGS,historical,25000,833.3333333,natural evolution
29,10.1038_ismej.2015.241.pdf,10.1038/ismej.2015.241,2016,Bendall M.L.; Stevens S.L.R.; Chan L.-K.; Malfatti S.; Schwientek P.; Tremblay J.; Schackwitz W.; Martin J.; Pati A.; Bushnell B.; Froula J.; Kang D.; Tringe S.G.; Bertilsson S.; Moran M.A.; Shade A.; Newton R.J.; McMahon K.D.; Malmstrom R.R.,Bendall,,Genome-wide selective sweeps and gene-specific sweeps in natural bacterial populations,,bacteria,bacterial community,natural evolution,metagenomics,repeated,9,#N/A,natural evolution
46,10.1038_s41591-019-0559-3.pdf,10.1038/s41591-019-0559-3,2019,Poyet M.; Groussin M.; Gibbons S.M.; Avila-Pacheco J.; Jiang X.; Kearney S.M.; Perrotta A.R.; Berdy B.; Zhao S.; Lieberman T.D.; Swanson P.K.; Smith M.; Roesemann S.; Alexander J.E.; Rich S.A.; Livny J.; Vlamakis H.; Clish C.; Bullock K.; Deik A.; Scott J.; Pierce K.A.; Xavier R.J.; Alm E.J.,Poyet,,A library of human gut bacterial isolates paired with longitudinal multiomics data enables mechanistic microbiome research,,microbes,,natural evolution,metagenomics,repeated,1.5,#N/A,natural evolution
132,10.1128_AEM.00179-18.pdf,10.1128/AEM.00179-18,2018,Patin; Nastassia; V; Pratte; Zoe A.; Regensburger; Matthew; Hall; Eric; Glide; Kailen; Dove; Alistair D. M.; Stewart; Frank J.,Patin,,Microbiome Dynamics in a Large Artificial Seawater Aquarium,,microbes,,natural evolution,metagenomics,repeated,1.166666667,#N/A,natural evolution
139,10.1128_msystems.01477-21.pdf,10.1128/msystems.01477-21,2022,Hwang; Yunha; Girguis; Peter R.,Hwang,,Differentiated Evolutionary Strategies of Genetic Diversification in Atlantic and Pacific Thaumarchaeal Populations,,bacteria,,natural evolution,metagenomics,repeated,2 or 1,#N/A,natural evolution
149,10.1186_s12866-017-1111-6.pdf,10.1186/s12866-017-1111-6,2017,Valseth; Karoline; Nesbo; Camilla L.; Easterday; W. Ryan; Turner; Wendy C.; Olsen; Jaran S.; Stenseth; Nils Chr.; Haverkamp; Thomas H. A.,Valseth,,Temporal dynamics in microbial soil communities at anthrax carcass sites,,microbes,,natural evolution,metagenomics,repeated,0.082191781,#N/A,natural evolution
5,10.1002_evl3.269.pdf,10.1002/evl3.269,2022,Saleh; D; Chen; J; Lepl√©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A,Saleh,Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea,genome-wide evolutionary response of european oaks during the anthropocene,kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it,plant,quercus petraea ,natural evolution,poolseq,repeated,340,17,natural evolution
70,10.1093_icb_icac098.pdf,10.1093/icb/icac098,2022,Pfenninger; Markus; Foucault; Quentin,Pfenninger,,Population Genomic Time Series Data of a Natural Population Suggests Adaptive Tracking of Fluctuating Environmental Changes,,invertebrate,Chironomus riparius,natural evolution,poolseq,repeated,3,27,natural evolution
85,10.1093_molbev_msae128.pdf,10.1093/molbev/msae128,2024,Angst P.; Haag C.R.; Ben-Ami F.; Fields P.D.; Ebert D.,Angst,Cladocera; colonization; Daphnia; founder bottleneck; genomics; hybrid vigor; metapopulation; site frequency spectrum; time series; turnover dynamics,genome-wide allele frequency changes reveal that dynamic metapopulations evolve differently,,invertebrate,Daphnia magna ,natural evolution,poolseq,repeated,5,122,natural evolution
31,10.1038_s41437-019-0264-5.pdf,10.1038/s41437-019-0264-5,2020,Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF,Qian,,adaptive signals of flowering time pathways in wild barley from israel over 28 generations,,plant,hordeum spontaneum,natural evolution,reduced representation,repeated,28,28,natural evolution
125,10.1111_mec.16111.pdf,10.1111/mec.16111,2021,,,,Genomic time-series data show that gene flow maintains high genetic diversity despite substantial genetic drift in a butterfly species,,invertebrate,Lycaeides idas,natural evolution,reduced representation,repeated,4 or 5,4 or 5,natural evolution
127,10.1111_mec.16748.pdf,10.1111/mec.16748,2023,Pfenninger M.; Foucault Q.; Waldvogel A.-M.; Feldmeyer B.,Pfenninger,,Selective effects of a short transient environmental fluctuation on a natural population,,invertebrate,Chironomus riparius,natural evolution,WGS,repeated,0.5 or 0.58333333,6.5,natural evolution
128,10.1111_mec.16760.pdf,10.1111/mec.16760,2023,Osborne M.J.; Caeiro-Dias G.; Turner T.F.,Osborne,,Transitioning from microsatellites to SNP-based microhaplotypes in genetic monitoring programmes: Lessons from paired data spanning 20 years,,vertebrate,Fish,natural evolution,reduced representation,repeated,19,19,natural evolution
130,10.1111_mec.17274.pdf,10.1111/mec.17274,2024,Kellner; FL; Le Moullec; M; Ellegaard; MR; Rosvold; J; Peeters; B; Burnett; HA; Pedersen; AO; Brealey; JC; Dussex; N; Bieker; VC; Hansen; BB; Martin; MD,Kellner,ancient DNA; bottleneck; conservation genomics; genomic erosion; population genomics; Svalbard reindeer,a palaeogenomic investigation of overharvest implications in an endemic wild reindeer subspecies,Generation time from https://www.cell.com/iscience/fulltext/S2589-0042(23)01888-6,vertebrate,Rangifer tarandus platyrhynchus,overharvest; anthropogenic,WGS,historical,"2,500",417,anthropogenic
86,10.1093_molbev_msq002.pdf,10.1093/molbev/msq002,2010,Lynd A.; Weetman D.; Barbosa S.; Egyir Yawson A.; Mitchell S.; Pinto J.; Hastings I.; Donnelly M.J.,Lynd,,Field; genetic; and modeling approaches show strong positive selection acting upon an insecticide resistance mutation in anopheles gambiae s.s.,,invertebrate,Anopheles gambiae,pesticide; anthropogenic,reduced representation,repeated,6,72,anthropogenic
126,10.1111_mec.16451.pdf,10.1111/mec.16451,2022,Abdullahi M.; Zhou J.; Dandhapani V.; Chaturvedi A.; Orsini L.,Abdullahi,,historical exposure to chemicals reduces tolerance to novel chemical stress in daphnia (waterflea),Resurrection experiment; Assumes a generation per year,invertebrate,Daphnia magna,pollution; anthropogenic,WGS,historical,50,50,anthropogenic
37,10.1038_s41559-019-0921-3.pdf,10.1038/s41559-019-0921-3,2019,Gutaker; RM; Weiss; CL; Ellis; D; Angling; NL; Knapp; S; Fernandez-Alonso; JL; Prats; S; Burbano; HA,Gutaker,,the origins and adaptation of european potatoes reconstructed from historical genomes,No idea how to calculate generation time,plant,Solanum tuberosum,domestication; anthropogenic,WGS,historical,345,NA,anthropogenic
78,10.1093_molbev_msac189.pdf,10.1093/molbev/msac189,2022,Wu; MY; Lau; CJ; Ng; EYX; Baveja; P; Gwee; CY; Sadanandan; K; Ferasyi; TR; Haminuddin; Ramadhan; R; Menner; JK; Rheindt; FE,Wu,extinction; introgression; white-rumped shama; conservation,genomes from historic dna unveil massive hidden extinction and terminal endangerment in a tropical asian songbird radiation,,vertebrate,Copsychus spp.,anthropogenic,WGS,historical,133,55,anthropogenic
79,10.1093_molbev_msac241.pdf,10.1093/molbev/msac241,2022,Hempel E.; Bibi F.; Faith J.T.; Koepfli K.-P.; Klittich A.M.; Duch√™ne D.A.; Brink J.S.; Kalthoff D.C.; DalCrossed D sign¬©n L.; Hofreiter M.; Westbury M.V.,Hempel,ancient DNA; diversity; extinction; Holocene; paleogenome; South Africa,blue turns to gray: paleogenomic insights into the evolutionary history and extinction of the blue antelope (hippotragus leucophaeus),,vertebrate,Hippotragus leucophaeus,anthropogenic,WGS,historical,9600,1371,anthropogenic
98,10.1093_ve_vead049.pdf,10.1093/ve/vead049,2023,Billard; E; Barro; M; S√©r√©me; D; Bangratz; M; Wonni; I; Koala; M; Kassankogno; AI; H√©brard; E; Th√©baud; G; Brugidou; C; Poulicard; N; Tollenaere; C,Billard,rice; RYMV; crop virus; epidemiology; spatio-temporal dynamics; diversity; recombination,dynamics of the rice yellow mottle disease in western burkina faso: epidemic monitoring; spatio-temporal variation of viral diversity; and pathogenicity in a disease hotspot,,virus,rice yellow mottle disease,host-pathogen,WGS,repeated,5,NA,host-pathogen
54,10.1093_evolut_qpad054.pdf,10.1093/evolut/qpad054,2023,Sinitambirivoutin; Maidie; Nosil; Patrik; Flaxman; Samuel; Feder; Jeffrey; Gompert; Zachariah; Dakos; Vasilis,Sinitambirivoutin,,Early-warning signals of impending speciation,,simulation,simulation,simulation,simulation,simulation,#N/A,#N/A,simulation
56,10.1093_gbe_evaa073.pdf,10.1093/gbe/evaa073,2020,Barghi; Neda; Schloetterer; Christian,Barghi,,Distinct Patterns of Selective Sweep and Polygenic Adaptation in Evolve and Resequence Studies,,simulation,simulation,simulation,simulation,simulation,#N/A,#N/A,simulation