"","File.Name","X0","X.selection.","X.balancing.selection.","X.purifying.selection.","X.positive.selection.","X.selection.coefficient.","X.gene.ontology.","fitness.","assigned","author","selection_measured_in_time_series_data","central_question_regarding_selection","outcome_of_central_question","selection_level_of_analysis","selection_hypothesized_driver_of_change","selection_method_of_estimating","selection_candidate_gene_list","added_genes_to_list","selection_coefficent_overall","selection_coefficent_meanofoutliers","X.x","X.y","doi","year","authors","first_author.y","keywords","Title","Notes","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std"
"1","10.1002_ece3.2402.pdf",1,"Yes","No","No","No","No","No","Yes","","nouhaud","yes","are selection experiments biased by selection for lab conditions in drosophila","no","multiple_temporal","bias in experimental methods"," differences in allelic frequency","no","",NA,NA,"",1,"10.1002/ece3.2402",2016,"Nouhaud P.; Tobler R.; Nolte V.; Schl‚àö‚àÇtterer C.","Nouhaud","Adaptation; evolve and resequence; experimental evolution; isofemale line; whole-genome sequencing","ancestral population reconstitution from isofemale lines as a tool for experimental evolution","","invertebrate","Drosophila simulans & melanogaster","experimental","poolseq","experimental","3","50","experimental"
"4","10.1002_evl3.143.pdf",4,"Yes","No","No","No","No","Yes","Yes","","hoedjes","yes","How does selction on reproductive age and larval diet affect the evolution of longevity?","Selection for later reproductive age leads to evolution of longer lifespan; larval diet only affects lifespan in early-reproducing populations","multiple_temporal","reproductive age and diet during larval stage; experimental","glm","yes","yes",NA,NA,"",4,"10.1002/evl3.143",2019,"Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äö√Ñ√∫evolve and resequence‚Äö√Ñ√π","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","experimental"
"5","10.1002_evl3.269.pdf",6,"Yes","No","No","No","No","Yes","Yes","","saleh","yes","Are sessile oak populations adapting in parallel to global climate change?","yes","multiple_temporal","climate change; anthropogenic","Buffalo and Coop 2019, 2020; temporal covariances of allelic frequency changes","yes","yes",NA,NA,"",5,"10.1002/evl3.269",2022,"Saleh; D; Chen; J; Lepl‚àö¬©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","natural evolution"
"6","10.1007_s00239-021-10008-2.pdf",7,"Yes","No","No","No","No","No","Yes","","hussain","yes","role of mutational pressure vs natural selection in shaping covid evolution","major role of selection, minor role of mutational pressure","multiple_temporal","epidemic","ENC plot,","no","",NA,NA,"",6,"10.1007/s00239-021-10008-2",2021,"Hussain S.; Rasool S.T.; Pottathil S.","Hussain","","The Evolution of Severe Acute Respiratory Syndrome Coronavirus-2 during Pandemic and Adaptation to the Host","","virus","covid","host-pathogen","WGS","historical","0.5 or 0.333333333","24.333309","host-pathogen"
"8","10.1016_j.cell.2019.03.049.pdf",9,"Yes","No","Yes","Yes","Yes","No","Yes","Ally","fages","yes","Has the reduced population size of horses during domestication resulted in reduced purifying selection?; What genes experienced positive selection?","yes; candidate gene list including genes for development, gait","multiple_temporal","domestication","PBS","yes",NA,"","","",8,"10.1016/j.cell.2019.03.049",2019,"Fages A.; Hangh‚àö‚àèj K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern‚àö¬∞ldez-S‚àö¬∞nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub‚àö¬©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los ‚àö√Öngeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv‚àö‚Ä¢g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern‚àö¬∞ndez-Rodr‚àö‚â†guez C.; Garc‚àö‚â†a-Vi‚àö¬±as E.; Germonpr‚àö¬© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L‚àö¬µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P‚àö¬∞lsd‚àö‚â•ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape‚âà¬∞a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojevi∆í√° Vuki∆í√ßevi∆í√° T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef‚àö¬∞nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","anthropogenic"
"13","10.1016_j.cub.2023.03.084.pdf",14,"Yes","No","No","Yes","No","Yes","No","danny","diéz-del-molino","yes","How has selection shaped mammoth and elephant lineages?","hair, skin, fat storage, metabolism, immune","multiple_temporal","climate change","fixed derived nonsynonymous mutations","yes",NA,"","","",13,"10.1016/j.cub.2023.03.084",2023,"D‚àö‚â†ez-del-Molino D.; Dehasque M.; Chac‚àö‚â•n-Duque J.C.; Pe∆í√ßnerov‚àö¬∞ P.; Tikhonov A.; Protopopov A.; Plotnikov V.; Kanellidou F.; Nikolskiy P.; Mortensen P.; Danilov G.K.; Vartanyan S.; Gilbert M.T.P.; Lister A.M.; Heintzman P.D.; van der Valk T.; Dal‚àö¬©n L.","D‚àö‚â†ez-del-Molino","","Genomics of adaptive evolution in the woolly mammoth","","vertebrate","Mammal","natural evolution","WGS","historical","700000","28000","natural evolution"
"18","10.1016_j.jgg.2020.10.002.pdf",19,"Yes","No","Yes","No","No","No","No","danny","xu","yes","Do we observe selection in SARS-CoV-2 within a patient over the course of their infection?","no, some signals but could be drift","multiple_temporal","host-pathogen","Ka:Ks","no",NA,"","","",18,"10.1016/j.jgg.2020.10.002",2020,"Xu Y.; Kang L.; Shen Z.; Li X.; Wu W.; Ma W.; Fang C.; Yang F.; Jiang X.; Gong S.; Zhang L.; Li M.","Xu","","Dynamics of severe acute respiratory syndrome coronavirus 2 genome variants in the feces during convalescence","","virus","covid","host-pathogen","WGS","historical","0.01369863 or 1-5 days","#N/A","host-pathogen"
"27","10.1021_acs.est.2c00793.pdf",29,"Yes","No","No","No","No","No","Yes","","wang","yes","How do microbes evolve in response to low levels of antibiotics?","candidate gene list","multiple_temporal","antibiotics","relative fitness (growth curves)","yes","yes",NA,NA,"",28,"10.1021/acs.est.2c00793",2022,"Wang H.; Feng Y.; Lu H.","Wang","","Low-Level Cefepime Exposure Induces High-Level Resistance in Environmental Bacteria: Molecular Mechanism and Evolutionary Dynamics","","bacteria","Comamonas testosteroni","experimental","WGS","experimental","0.02739726 or 0.109589041","66.4 or 300","experimental"
"28","10.1038_ismej.2015.241.pdf",30,"Yes","No","No","No","No","No","Yes","","bendall","yes","Do bacterial communities experience genome-wide or gene-wide selective sweeps?","both","multiple_temporal","natural","allele frequency change","yes","yes",NA,NA,"",29,"10.1038/ismej.2015.241",2016,"Bendall M.L.; Stevens S.L.R.; Chan L.-K.; Malfatti S.; Schwientek P.; Tremblay J.; Schackwitz W.; Martin J.; Pati A.; Bushnell B.; Froula J.; Kang D.; Tringe S.G.; Bertilsson S.; Moran M.A.; Shade A.; Newton R.J.; McMahon K.D.; Malmstrom R.R.","Bendall","","Genome-wide selective sweeps and gene-specific sweeps in natural bacterial populations","","bacteria","bacterial community","natural evolution","metagenomics","repeated","9","#N/A","natural evolution"
"29","10.1038_ncomms3172.pdf",31,"Yes","No","No","Yes","No","No","No","danny","martin","yes","How did the potato blight evolve during and after the Irish potato famine?","candidate gene list; suite of virulence related genes","multiple_temporal","epidemic","gene content analysis","yes",NA,NA,NA,"",30,"10.1038/ncomms3172",2013,"Martin M.D.; Cappellini E.; Samaniego J.A.; Zepeda M.L.; Campos P.F.; Seguin-Orlando A.; Wales N.; Orlando L.; Ho S.Y.W.; Dietrich F.S.; Mieczkowski P.A.; Heitman J.; Willerslev E.; Krogh A.; Ristaino J.B.; Gilbert M.T.P.","Martin","","reconstructing genome evolution in historic samples of the irish potato famine pathogen","gen time of 5 days 10.2478/v10032-012-0016-z","microbes","phytophthora infestans","host-pathogen","WGS","historical","168","11961.6","host-pathogen"
"30","10.1038_s41437-019-0264-5.pdf",32,"Yes","Yes","No","Yes","No","No","No","Ally","qian","yes","Have flower-time related genes in wild barley experienced positive selection compared to reference genes?","yes","multiple_temporal","climate change; anthropogenic","WFABC","yes",NA,"","","",31,"10.1038/s41437-019-0264-5",2020,"Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution"
"31","10.1038_s41467-021-21281-6.pdf",34,"Yes","No","No","Yes","No","No","No","henrey","Iranmehr","yes","what are the genomic mechanisms responsible for adaptation","synchronicity in both hard and soft sweeps, candidate gene list","multiple temporal","oxygen level","allele frequency change","yes",NA,NA,NA,"",32,"10.1038/s41467-021-21281-6",2021,"Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.","Iranmehr","","Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster","","invertebrate","Drosophila melanogaster","experimental","WGS","experimental","18","290","experimental"
"32","10.1038_s41467-022-31622-8.pdf",35,"Yes","Yes","No","Yes","Yes","Yes","Yes","Ally","Stern","yes","What is the evolutionary genomic response to rapid salinity decline","Found highly parallel polygenic adaptaion to saliity decline","multiple_temporal","salinity; global warming; anthropological; experimental evolution","CMH; chi sq; LMM","yes",NA,"see paper for selection coefficent","","",33,"10.1038/s41467-022-31622-8",2022,"Stern D.B.; Anderson N.W.; Diaz J.A.; Lee C.E.","Stern","","genome-wide signatures of synergistic epistasis during parallel adaptation in a baltic sea copepod","Time scale year generated from 10.1080/01647959108683894","microbes","Rhizoglyphus robini","experimental","poolseq","experimental",NA,"45","experimental"
"35","10.1038_s41558-023-01696-3.pdf",38,"Yes","No","No","No","No","Yes","Yes","","turbek","yes","Are climate linked loci spatially shifting in response to climate change?","yes","multiple_temporal","climate change; anthropogenic","random forest; lfmm","yes","yes",NA,NA,"",36,"10.1038/s41558-023-01696-3",2023,"Turbek; SP; Bossu; C; Rayne; C; Gruppi; C; Kus; BE; Whitfield; M; Smith; TB; Paxton; EH; Bay; RA; Ruegg; KC","Turbek","","historical dna reveals climate adaptation in an endangered songbird","Generation time from https://www.fs.usda.gov/rm/pubs/rmrs_gtr060.pdf","vertebrate","Empidonax traillii extimus","climate change; anthropogenic","WGS","historical","35","23","anthropogenic"
"36","10.1038_s41559-019-0921-3.pdf",39,"Yes","No","No","Yes","No","No","No","danny","gutaker","yes","How did potatos evole after being brought to Europe from Chile?","Selection on photoperiod genes; candidate gene list","multiple_temporal","globalization; farming; trade; novel environment; anthropogenic","loss of heterozygosity; tajima's d","yes",NA,"","","",37,"10.1038/s41559-019-0921-3",2019,"Gutaker; RM; Weiss; CL; Ellis; D; Angling; NL; Knapp; S; Fernandez-Alonso; JL; Prats; S; Burbano; HA","Gutaker","","the origins and adaptation of european potatoes reconstructed from historical genomes","No idea how to calculate generation time","plant","Solanum tuberosum","domestication; anthropogenic","WGS","historical","345",NA,"anthropogenic"
"38","10.1038_s41559-022-01665-7.pdf",41,"Yes","No","No","Yes","No","Yes","Yes","danny","frei","yes","Do genes that experienced positive selection in one species more commonly introgress?","yes","multiple_temporal","eutrophication; pollution; anthropogenic","nSL","yes",NA,"","","",39,"10.1038/s41559-022-01665-7",2022,"Frei; D; De-Kayne; R; Selz; OM; Seehausen; O; Feulner; PGD","Frei","","genomic variation from an extinct species is retained in the extant radiation following speciation reversal","","vertebrate","Coregonus gutturosus; C. arenicolus; C. wartmanni; C. macrophthalmus","climate change; anthropogenic","WGS","historical","80","16","anthropogenic"
"39","10.1038_s41559-022-01816-w.pdf",42,"Yes","Yes","Yes","No","Yes","No","Yes","danny","parrett","yes","How did a cold snap affect genomic diversity in a non-biting midge population?","Increases purging selection","multiple_temporal","sexual selection","poolseq estimateSH","yes",NA,"","","",40,"10.1038/s41559-022-01816-w",2022,"Parrett J.M.; Chmielewski S.; Aydogdu E.; ‚âà√Öukasiewicz A.; Rombauts S.; Szubert-Kruszy‚âà√ëska A.; Babik W.; Konczal M.; Radwan J.","Parrett","","genomic evidence that a sexually selected trait captures genome-wide variation and facilitates the purging of genetic load","3 part paper; starts with experimental evolution; then simulation; then natural evolution. Time scale years calculated with 10.1111/eva.12334","microbes","Eurytemora affinis","experimental","poolseq","experimental",NA,"10","experimental"
"44","10.1038_s41586-022-04824-9.pdf",47,"Yes","No","No","No","No","No","No","","bergström","yes","What role has selection played in recent wolf evolution?","candidate gene list","linear regression on allele frequency ~ sample age; TMRCA sliding window","","","only GO categories","",NA,NA,"",45,"10.1038/s41586-022-04824-9",2022,"Bergstrom; Anders; Stanton; David W. G.; Taron; Ulrike H.; Frantz; Laurent; Sinding; Mikkel-Holger S.; Ersmark; Erik; Pfrengle; Saskia; Cassatt-Johnstone; Molly; Lebrasseur; Ophelie; Girdland-Flink; Linus; Fernandes; Daniel M.; Ollivier; Morgane; Speidel; Leo; Gopalakrishnan; Shyam; Westbury; Michael V.; Ramos-Madrigal; Jazmin; Feuerborn; Tatiana R.; Reiter; Ella; Gretzinger; Joscha; Muenzel; Susanne C.; Swali; Pooja; Conard; Nicholas J.; Caroe; Christian; Haile; James; Linderholm; Anna; Androsov; Semyon; Barnes; Ian; Baumann; Chris; Benecke; Norbert; Bocherens; Herve; Brace; Selina; Carden; Ruth F.; Drucker; Dorothee G.; Fedorov; Sergey; Gasparik; Mihaly; Germonpre; Mietje; Grigoriev; Semyon; Groves; Pam; Hertwig; Stefan T.; Ivanova; Varvara V.; Janssens; Luc; Jennings; Richard P.; Kasparov; Aleksei K.; Kirillova; Irina V.; Kurmaniyazov; Islam; Kuzmin; Yaroslav V.; Kosintsev; Pavel A.; Laznickova-Galetova; Martina; Leduc; Charlotte; Nikolskiy; Pavel; Nussbaumer; Marc; O'Drisceoil; Coilin; Orlando; Ludovic; Outram; Alan; Pavlova; Elena Y.; Perri; Angela R.; Pilot; Malgorzata; Pitulko; Vladimir V.; Plotnikov; Valerii V.; Protopopov; Albert V.; Rehazek; Andre; Sablin; Mikhail; Seguin-Orlando; Andaine; Stora; Jan; Verjux; Christian; Zaibert; Victor F.; Zazula; Grant; Crombe; Philippe; Hansen; Anders J.; Willerslev; Eske; Leonard; Jennifer A.; Gotherstrom; Anders; Pinhasi; Ron; Schuenemann; Verena J.; Hofreiter; Michael; Gilbert; M. Thomas P.; Shapiro; Beth; Larson; Greger; Krause; Johannes; Dalen; Love; Skoglund; Pontus","Bergstrom","","Grey wolf genomic history reveals a dual ancestry of dogs","","vertebrate","Mammal","natural evolution","WGS","historical","100000 or 300000","30000 or 100000","natural evolution"
"47","10.1073_pnas.1400378111.pdf",50,"Yes","No","No","No","Yes","Yes","Yes","","martins","yes","How do drosophila evolve in response to viruses?","candidate gene list","multiple_temporal","disease; three viruses","CMH","yes",NA,NA,"0.24 and 0.14","",48,"10.1073/pnas.1400378111",2014,"Martins N.E.; Faria V.G.; Nolte V.; Schl‚àö‚àÇtterer C.; Teixeira L.; Sucena ‚àö√¢.; Magalh‚àö¬£es S.","Martins","Drosophila immunity; Evolve and resequence; Experimental evolution; Host-parasite interactions","host adaptation to viruses relies on few genes with different cross-resistance properties","","invertebrate","Drosophila melanogaster","host-pathogen","poolseq","repeated",NA,"35","host-pathogen"
"49","10.1073_pnas.1714246115.pdf",53,"Yes","No","No","No","No","No","Yes","","burghardt","yes","How does selection differ between free living  and legume-symbiotic rhizobial communities?","various findings","multiple_temporal","symbioses","strain frequency over time; mean relative fitness","no; but GO terms","",NA,NA,"",50,"10.1073/pnas.1714246115",2018,"Burghardt L.T.; Epstein B.; Guhlin J.; Nelson M.S.; Taylor M.R.; Young N.D.; Sadowsky M.J.; Tiffin P.","Burghardt","Ensifer meliloti; Evolve and resequence; Facultative mutualism; Medicago; Synthetic community","select and resequence reveals relative fitness of bacteria in symbiotic and free-living environments","","microbes"," Ensifer meliloti ","experimental","poolseq","experimental","0.15","","experimental"
"50","10.1073_pnas.2201521119.pdf",54,"Yes","Yes","No","Yes","No","Yes","No","henrey","brennan","yes","How has the copepod Acartia tonsa evolved in response to ocean warming and acidification?","candidate gene list","multiple_temporal","climate change; anthropogenic","temporal covariance-based method (cvtk)","yes",NA,"","","",51,"10.1073/pnas.2201521119",2022,"Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.","Brennan","evolve and resequence; global change adaptation; zooplankton evolution","experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod","","microbes","Acartia tonsa (temperature and acidification)","experimental","reduced representation","experimental","1","25","experimental"
"54","10.1093_gbe_evaa036.pdf",59,"Yes","No","No","No","Yes","No","Yes","","burny","yes","Can their new experimental method better identify candidate genes?","yes","multiple_temporal","temperature; experimental","fishers exact test, CMH, forward simulations","no",NA,"0","0.26, 0.27; 0.08, 0.09, 0.12","",55,"10.1093/gbe/evaa036",2020,"Burny C.; Nolte V.; Nouhaud P.; Dolezal M.; Schl‚àö‚àÇtterer C.; Baer C.","Burny","Drosophila simulans; evolve and resequence; experimental evolution; repeatability of evolution","secondary evolve and resequencing: an experimental confirmation of putative selection targets without phenotyping","Time scale years calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","invertebrate","Drosophila simulans","experimental","poolseq","experimental","2.5","70","experimental"
"56","10.1093_gbe_evaa178.pdf",61,"Yes","No","Yes","Yes","No","No","Yes","danny","maddamsetti","yes","Does selection act on mutation rate in E Coli?","yes","multiple_temporal","mutation rate","novel mutations over time","yes",NA,NA,NA,NA,57,"10.1093/gbe/evaa178",2020,"Maddamsetti; Rohan; Grant; Nkrumah A.","Maddamsetti","","Divergent Evolution of Mutation Rates and Biases in the Long-Term Evolution Experiment with <i>Escherichia coli</i>","","bacteria","E coli","experimental","metagenomics","experimental","#N/A","60000","experimental"
"57","10.1093_gbe_evaa188.pdf",62,"Yes","No","No","Yes","No","Yes","Yes","Ally","Parejo","yes","What genes are experiencing selection in Swiss honey bee","Several genes are experiencig selection specifically related to xenobionics","multiple_temporal","pesticide; disease; change in agriculture; anthropogenic","XP-EHH & SNPeff","yes",NA,NA,NA,"",58,"10.1093/gbe/evaa188",2020,"Parejo; M; Wragg; D; Henriques; D; Charri‚àö¬Ære; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","natural evolution"
"58","10.1093_gbe_evab070.pdf",63,"Yes","No","Yes","Yes","No","No","Yes","Ally","Maddamsetti","yes","Why do abundant proteins evolve slowly?","Direct quation not really ansswered, but says result of paper help with designing an experiment that will be able to answer this question","multiple_spatial","DNA repair mutation; mutation; natural evolution","comparisons of density of observed mutation w/ spearman correlatio coefficients","no",NA,NA,NA,"",59,"10.1093/gbe/evab070",2021,"Maddamsetti; R","Maddamsetti","purifying selection; experimental evolution; protein evolution","universal constraints on protein evolution in the long-term evolution experiment with escherichia coli","","microbes","escherichia coli","experimental","metagenomics","experimental","30","60000","experimental"
"60","10.1093_gbe_evab237.pdf",65,"Yes","No","No","Yes","No","Yes","Yes","danny","colbran","yes","How has selection on gene-regulation genes shaped ancient European evolution?","metabolic and immune functions, dietary metabolism","multiple_temporal","social changes among ancient humans","PrediXcan","yes",NA,"","","",61,"10.1093/gbe/evab237",2021,"Colbran L.L.; Johnson M.R.; Mathieson I.; Capra J.A.","Colbran","","Tracing the Evolution of Human Gene Regulation and Its Association with Shifts in Environment","","vertebrate","Mammal","natural evolution","WGS","historical","38000","1266.666667","natural evolution"
"61","10.1093_gbe_evab239.pdf",66,"Yes","No","No","Yes","Yes","No","Yes","danny","burny","yes","Do highly inbred Drosophila strains have highly parallel selection responses?","yes","multiple_temporal","heat; experimental","allele frequency change","no",NA,"see notes","see notes","",62,"10.1093/gbe/evab239",2021,"Burny C.; Nolte V.; Dolezal M.; Schl‚àö‚àÇtterer C.","Burny","Drosophila melanogaster; evolve and resequence; experimental evolution; inbred strains; parallelism; polygenic trait","highly parallel genomic selection response in replicated drosophila melanogaster populations with reduced genetic variation","Time scale years calculated from 10.1007/978-1-59745-365-3_3","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"20","experimental"
"62","10.1093_gbe_evac074.pdf",67,"Yes","No","Yes","Yes","No","No","No","danny","schick","yes","How does a heterogenous environment affect effective population size and therefore parallelism of evolution and selection?","Spatially structured populations have lower Ne and therefore a lower supply of beneficial mutations, leading to divergent evolution.","multiple_temporal","novel environment","nonsynonymous:synonymous","yes",NA,NA,NA,NA,63,"10.1093/gbe/evac074",2022,"Schick A.; Shewaramani S.; Kassen R.","Schick","diversification; evolve-and-resequence experiments; nutrient adaptation; Pseudomonas aeruginosa; spatial structure","genomics of diversification of pseudomonas aeruginosa in cystic fibrosis lung-like conditions","Time scale years calculated from 10.1002/9780471729259.mc06e01s25","microbes","Pseudomonas aeruginosa","host-pathogen","WGS","experimental","0.038","220","host-pathogen"
"64","10.1093_gbe_evad113.pdf",70,"Yes","Yes","Yes","Yes","Yes","No","Yes","danny","barata","yes","How does section act differenlty between a polyamorous and a monogamous population?","More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ","multiple_spatial","sexual selection","BAIT-ER","yes",NA,"","","",65,"10.1093/gbe/evad113",2023,"Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","experimental"
