"","File.Name","order","parallel.","author","measured_in_time_series_data","evidence_of_parallel_evolution","snp_evidence","gene_protein_evidence","parallel_diversity.change","notes","X","x","collectedmonth","doi","year","journal","volume","issue","dbs","authors","first_author","keywords","Title","include_1stround","include_2ndround","Notes","Type","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std","File.Name.1"
"3","10.1002_ece3.4143.pdf",3,"Yes","cammen","yes","yes",NA,NA,NA,"no change in nucleotide diversity in two seals",50,2310,"may","10.1002/ece3.4143",2018,"ECOL EVOL",8,"13","NA NA wos","Cammen; KM; Schultz; TF; Bowen; WD; Hammill; MO; Puryear; WB; Runstadler; J; Wenzel; FW; Wood; SA; Kinnison; M","Cammen","approximate Bayesian computation; gray seal; harbor seal; restriction site-associated DNA sequencing","genomic signatures of population bottleneck and recovery in northwest atlantic pinnipeds","y","y","generation time calculated from doi.org/10.1111/j.1469-7998.1964.tb04631.x","article ","vertebrate","Halichoerus grypus atlantica & Phoca vitulina vitulina","natural evolution","reduced representation","historical","42","7","natural evolution","10.1002_ece3.4143.pdf"
"4","10.1002_evl3.143.pdf",4,"Yes","hoedjes","yes","yes","no","yes",NA,"candidate genes overlap with other studies; details figure 5",63,3716,"may","10.1002/evl3.143",2019,"Evolution Letters",3,"6","er","Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äúevolve and resequence‚Äù","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","y","y","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","experimental","10.1002_evl3.143.pdf"
"5","10.1002_evl3.269.pdf",6,"Yes","saleh","yes","yes","yes",NA,NA,"positive covariance in allele frequences of the forests between time periods ",38,1692,"may","10.1002/evl3.269",2022,"EVOL LETT",6,"1","NA NA wos","Saleh; D; Chen; J; Lepl√©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","y","y","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","article ","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","natural evolution","10.1002_evl3.269.pdf"
"24","10.1016_j.meegid.2024.105623.pdf",25,"Yes","castiglioni","yes","no","no",NA,NA,"metric suggests that there's little paralell genetic adaptation to phenotype but statistical support is not strong",3,44,"may","10.1016/j.meegid.2024.105623",2024,"Infection; Genetics and Evolution",123,"","NA scopus NA","Castiglioni V.G.; Olmo-Uceda M.J.; Mart√≠n S.; F√©lix M.-A.; Gonz√°lez R.; Elena S.F.","Castiglioni","Evolution of virulence; Experimental evolution; Orsay virus; Virus evolution","experimental evolution of an rna virus in caenorhabditis elegans","y","y","","article ","virus","Orsay virus","experimental","WGS","experimental","0.16",NA,"experimental","10.1016_j.meegid.2024.105623.pdf"
"30","10.1038_ncomms3172.pdf",31,"Yes","martin","yes","yes",NA,"yes",NA,"Amino acid changes in AVR genes in multiple modern samples of potato blight suggest evolution of more virulence",26,1023,"may","10.1038/ncomms3172",2013,"Nature Communications",4,"","NA scopus NA","Martin M.D.; Cappellini E.; Samaniego J.A.; Zepeda M.L.; Campos P.F.; Seguin-Orlando A.; Wales N.; Orlando L.; Ho S.Y.W.; Dietrich F.S.; Mieczkowski P.A.; Heitman J.; Willerslev E.; Krogh A.; Ristaino J.B.; Gilbert M.T.P.","Martin","","reconstructing genome evolution in historic samples of the irish potato famine pathogen","y","y","gen time of 5 days 10.2478/v10032-012-0016-z","article","microbes","phytophthora infestans","host-pathogen","WGS","historical","168","11961.6","host-pathogen","10.1038_ncomms3172.pdf"
"31","10.1038_s41437-019-0264-5.pdf",32,"Yes","qian","yes","yes","yes",NA,NA,"54 snps under selection, all fixed in descendent populations",40,1728,"may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","y","y","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution","10.1038_s41437-019-0264-5.pdf"
"33","10.1038_s41467-022-31622-8.pdf",35,"Yes","stern","yes","yes","yes",NA,NA,"79.4% of selected alleles shared between lines by the tenth generation of natural selection; suggested due to synergistic epistasis",70,3728,"may","10.1038/s41467-022-31622-8",2022,"Nature Communications",13,"1","er","Stern D.B.; Anderson N.W.; Diaz J.A.; Lee C.E.","Stern","","genome-wide signatures of synergistic epistasis during parallel adaptation in a baltic sea copepod","y","y","Time scale year generated from 10.1080/01647959108683894","article","microbes","Rhizoglyphus robini","experimental","poolseq","experimental",NA,"45","experimental","10.1038_s41467-022-31622-8.pdf"
"48","10.1073_pnas.1400378111.pdf",50,"Yes","martins","yes","yes","yes","yes",NA,"resistance to parasite in four replicate populations associated with changes in pst; potential role for epistasis",75,3734,"may","10.1073/pnas.1400378111",2014,"Proceedings of the National Academy of Sciences of the United States of America",111,"16","er","Martins N.E.; Faria V.G.; Nolte V.; Schl√∂tterer C.; Teixeira L.; Sucena √â.; Magalh√£es S.","Martins","Drosophila immunity; Evolve and resequence; Experimental evolution; Host-parasite interactions","host adaptation to viruses relies on few genes with different cross-resistance properties","y","y","","article","invertebrate","Drosophila melanogaster","host-pathogen","poolseq","repeated",NA,"35","host-pathogen","10.1073_pnas.1400378111.pdf"
"51","10.1073_pnas.2201521119.pdf",54,"Yes","brennan","yes","partial","yes",NA,NA,"treatment replicates had high convergent correlations; also find some changes that could be drift",66,3722,"may","10.1073/pnas.2201521119",2022,"Proceedings of the National Academy of Sciences of the United States of America",119,"38","er","Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.","Brennan","evolve and resequence; global change adaptation; zooplankton evolution","experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod","y","y","","article ","microbes","Acartia tonsa (temperature and acidification)","experimental","reduced representation","experimental","1","25","experimental","10.1073_pnas.2201521119.pdf"
"55","10.1093_gbe_evaa036.pdf",59,"Yes","burny","yes","no","no",NA,NA,"two distinct haplotypes emerged in response to selection in different replicates",80,3748,"may","10.1093/gbe/evaa036",2020,"Genome Biology and Evolution",12,"3","er","Burny C.; Nolte V.; Nouhaud P.; Dolezal M.; Schl√∂tterer C.; Baer C.","Burny","Drosophila simulans; evolve and resequence; experimental evolution; repeatability of evolution","secondary evolve and resequencing: an experimental confirmation of putative selection targets without phenotyping","y","y","Time scale years calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","2.5","70","experimental","10.1093_gbe_evaa036.pdf"
"56","10.1093_gbe_evaa073.pdf",60,"Yes","barghi","yes",NA,NA,NA,NA,"simulations suggest paralellism lower in small popualtions due to drift; parallism also lower under model that assumes epistasis (interactions among genes)",126,NA,"august","10.1093/gbe/evaa073",2020,"",NA,"","","Barghi; Neda; Schloetterer; Christian","Barghi","","Distinct Patterns of Selective Sweep and Polygenic Adaptation in Evolve and Resequence Studies","","y","","article","simulation","simulation","simulation","simulation","simulation","#N/A","#N/A","simulation","10.1093_gbe_evaa073.pdf"
"62","10.1093_gbe_evab239.pdf",66,"Yes","burny","yes","yes","yes",NA,NA,"strong parallel selection in 10 evolved lines in response to extreme hot temps; correlation among replicates > .8; significant p val",74,3733,"may","10.1093/gbe/evab239",2021,"Genome Biology and Evolution",13,"11","er","Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.","Burny","Drosophila melanogaster; evolve and resequence; experimental evolution; inbred strains; parallelism; polygenic trait","highly parallel genomic selection response in replicated drosophila melanogaster populations with reduced genetic variation","y","y","Time scale years calculated from 10.1007/978-1-59745-365-3_3","article","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"20","experimental","10.1093_gbe_evab239.pdf"
"63","10.1093_gbe_evac074.pdf",67,"Yes","schick","yes","partial","yes","yes",NA,"found both snp and gene level parallelism but effects vary among treatments",73,3731,"may","10.1093/gbe/evac074",2022,"Genome Biology and Evolution",14,"6","er","Schick A.; Shewaramani S.; Kassen R.","Schick","diversification; evolve-and-resequence experiments; nutrient adaptation; Pseudomonas aeruginosa; spatial structure","genomics of diversification of pseudomonas aeruginosa in cystic fibrosis lung-like conditions","y","y","Time scale years calculated from 10.1002/9780471729259.mc06e01s25","article","microbes","Pseudomonas aeruginosa","host-pathogen","WGS","experimental","0.038","220","host-pathogen","10.1093_gbe_evac074.pdf"
"69","10.1093_genetics_iyab142.pdf",74,"Yes","michelotti","yes","partial","no",NA,"yes","Some evidence of parallel evolution, but its unrelated to treatment. mostly occurs in loss of heterozygosity",60,3710,"may","10.1093/genetics/iyab142",2022,"Genetics",220,"1","er","Michelotti L.A.; Sun S.; Heitman J.; James T.Y.","Michelotti","evolve and resequence; experimental evolution; Galleria mellonella; polyploid hybrid; trisomic","clonal evolution in serially passaged cryptococcus neoformans 3 deneoformans hybrids reveals a heterogenous landscape of genomic change","y","y","","article ","microbes","Cryptococcus neoformans × deneoformans hybrids (serotype AD hybrids)","experimental","WGS","experimental","0.27","","experimental","10.1093_genetics_iyab142.pdf"
"77","10.1093_molbev_msac182.pdf",83,"Yes","debray","yes","partial","yes","no","no","populations that evolved the same resistance gene had parallel mutations in the gene",10,250,"may","10.1093/molbev/msac182",2022,"MOL BIOL EVOL",39,"9","NA scopus wos","Debray R.; De Luna N.; Koskella B.","Debray","bacteriophages; epistasis; experimental evolution; historical contingency; microbial evolution; parallel evolution","historical contingency drives compensatory evolution and rare reversal of phage resistance","y","y","","article ","microbes","Pseudomonas syringae","experimental","WGS","experimental","0.0986","345.6","experimental","10.1093_molbev_msac182.pdf"
"80","10.1093_molbev_msac242.pdf",86,"Yes","ament-velasquez ","yes","yes","yes","yes","yes","Lots of parallel evolution",123,NA,"august","10.1093/molbev/msac242",2022,"",NA,"","","Ament-Vel√°squez S.L.; Gilchrist C.; R√™go A.; Bendixsen D.P.; Brice C.; Grosse-Sommer J.M.; Rafati N.; Stelkens R.","Ament-Vel√°squez","","The Dynamics of Adaptation to Stress from Standing Genetic Variation and de novo Mutations","","y","","article","yeast","","experimental","WGS","experimental","0.82","1000","experimental","10.1093_molbev_msac242.pdf"
"81","10.1093_molbev_msac248.pdf",87,"Yes","linder","yes","yes","yes","yes",NA,"Lots of parallel evolution within treatment; limited parallels across selective treatments; good discussion of parallel evolution",59,3706,"may","10.1093/molbev/msac248",2022,"Molecular Biology and Evolution",39,"12","er","Linder R.A.; Zabanavar B.; Majumder A.; Hoang H.C.-S.; Delgado V.G.; Tran R.; La V.T.; Leemans S.W.; Long A.D.","Linder","complex traits; evolve and resequence; experimental evolution; yeast","adaptation in outbred sexual yeast is repeatable; polygenic and favors rare haplotypes","y","y","","article","microbes","Saccharomyces cerevisiae","experimental","poolseq","experimental","12","200","experimental","10.1093_molbev_msac248.pdf"
"82","10.1093_molbev_msad108.pdf",88,"Yes","batarseh","yes","partial",NA,"no",NA,"evolved populations shared 38% of mutated genes. Slightly more overlap within genotype background groups",36,1634,"may","10.1093/molbev/msad108",2023,"MOL BIOL EVOL",40,"5","NA NA wos","Batarseh; TN; Batarseh; SN; Rodr√≠guez-Verdugo; A; Gaut; BS","Batarseh","epistasis; experimental evolution; historical contingency; diminishing returns","phenotypic and genotypic adaptation of escherichia coli to thermal stress is contingent on genetic background","y","y","e coli ""time in years"" was calculated from given generation # and generation time from https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6015860/","article ","microbes","escherichia coli","experimental","WGS","experimental","0.113","3000","experimental","10.1093_molbev_msad108.pdf"
"90","10.1093_molbev_msu256.pdf",97,"Yes","burke","yes","yes","yes",NA,NA,NA,83,3752,"may","10.1093/molbev/msu256",2014,"Molecular Biology and Evolution",31,"12","er","Burke M.K.; Liti G.; Long A.D.","Burke","experimental evolution; population genomics; quantitative trait loci","standing genetic variation drives repeatable experimental evolution in outcrossing populations of saccharomyces cerevisiae","y","y","","article","microbes","Saccharomyces cerevisiae","experimental","WGS","experimental",NA,"540","experimental","10.1093_molbev_msu256.pdf"
"92","10.1093_molbev_msv033.pdf",99,"Yes","bailey","yes","partial","partial","yes",NA,"degree of parallelism varied; number of available beneficial mutations negatively correlated with parallelism; paralellism was higher in spatially structured environments",32,1552,"may","10.1093/molbev/msv033",2015,"MOL BIOL EVOL",32,"6","NA NA wos","Bailey; SF; Rodrigue; N; Kassen; R","Bailey","parallel evolution; experimental evolution; Pseudomonas fluorescens; selection environment; environmental heterogeneity","the effect of selection environment on the probability of parallel evolution","y","y","","article ","microbes","pseudomonas fluorescens","experimental","WGS","experimental",NA,"1000","experimental","10.1093_molbev_msv033.pdf"
"95","10.1093_molbev_msx247.pdf",102,"Yes","seabra","yes","no","no",NA,NA,"good paper for discussion of parallel evolution",133,NA,"august","10.1093/molbev/msx247",2018,"",NA,"","","Seabra; Sofia G.; Fragata; Ines; Antunes; Marta A.; Faria; Goncalo S.; Santos; Marta A.; Sousa; Vitor C.; Simoes; Pedro; Matos; Margarida","Seabra","","Different Genomic Changes Underlie Adaptive Evolution in Populations of Contrasting History","","y","","article","invertebrate","","experimental","WGS","experimental","#N/A","50","experimental","10.1093_molbev_msx247.pdf"
"96","10.1093_molbev_msx254.pdf",103,"Yes","hardy","yes","partial","partial",NA,NA,"strong genetic differentiation of starvation treatment replicates from control replicats, but still lots of variation in starvation ones",68,3726,"may","10.1093/molbev/msx254",2018,"Molecular Biology and Evolution",35,"1","er","Hardy C.M.; Burke M.K.; Everett L.J.; Han M.V.; Lantz K.M.; Gibbs A.G.","Hardy","Drosophila melanogaster; evolve and resequence; experimental evolution; metabolism; obesity; starvation selection","genome-wide analysis of starvation-selected drosophila melanogaster-a genetic model of obesity","y","y","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"83","experimental","10.1093_molbev_msx254.pdf"
