"","File.Name","order","parallel.","author","measured_in_time_series_data","evidence_of_parallel_evolution","snp_evidence","gene_protein_evidence","parallel_diversity.change","notes","X","x","collectedmonth","doi","year","journal","volume","issue","dbs","authors","first_author","keywords","Title","include_1stround","include_2ndround","Notes","Type","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std","File.Name.1"
"102","10.1098_rspb.2015.0801.pdf",109,"Yes","morley","yes","partial","partial",NA,NA,"novel substitution occurred in 12/24 populations; parallelism was less in populations that shifted rapidly onto novel hosts ",25,983,"may","10.1098/rspb.2015.0801",2015,"P ROY SOC B-BIOL SCI",282,"1813","NA scopus wos","Morley V.J.; Mendiola S.Y.; Turner P.E.","Morley","Adaptation; Alphavirus; Contingency; Epistasis; Experimental evolution; Sindbis virus","rate of novel host invasion affects adaptability of evolving rna virus lineages","y","y","","article","virus","sindbis virus","host-pathogen","reduced representation","experimental","variable depending on treatment","variable depending on treatment","host-pathogen","10.1098_rspb.2015.0801.pdf"
"104","10.1098_rspb.2022.1857.pdf",111,"Yes","burny","yes","partial","yes",NA,NA,"finds lots of convergence in temperature replicates, but where replicates don't have same adaptations its not clear if its an alternative solution or just drift (they call it drift) ",69,3727,"may","10.1098/rspb.2022.1857",2022,"Proceedings of the Royal Society B: Biological Sciences",289,"1985","er","Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.","Burny","Drosophila melanogaster; experimental evolution; local adaptation; parallel evolution; temperature adaptation","genome-wide selection signatures reveal widespread synergistic effects of two different stressors in drosophila melanogaster","y","y","","article ","invertebrate","Drosophila melanogaster","experimental","reduced representation","experimental",NA,"20","experimental","10.1098_rspb.2022.1857.pdf"
"105","10.1098_rstb.2022.0190.pdf",112,"Yes","reid","yes","yes","yes",NA,"yes","find parallel changes in allele frequencies and linkage groups in different cod populations greater than expected by chance ",62,3715,"may","10.1098/rstb.2022.0190",2023,"Philosophical Transactions of the Royal Society B: Biological Sciences",378,"1881","er","Reid B.N.; Star B.; Pinsky M.L.","Reid","convergence; fisheries-induced evolution; parallel adaptation","detecting parallel polygenic adaptation to novel evolutionary pressure in wild populations: a case study in atlantic cod (gadus morhua)","y","y","Time scale generation from https://www.fishbase.se/summary/gadus-morhua.html#:~:text=Generation%20time%3A%207.7%20(7.1%20%2D;based%20on%2057%20growth%20studies.","article ","vertebrate","Gadus morhua","natural evolution","simulation","historical","107","14","natural evolution","10.1098_rstb.2022.0190.pdf"
"107","10.1099_MGEN.0.000553.pdf",113,"Yes","leyn","yes","partial","yes","yes",NA,"We have observed parallel evolution toward a single mechanism of robust TCS resistance; ll these trajectories converged within 4days into a limited number of solutions (Fig. 4) sharing one general mechanism of robust TCS resistance (up to 16-fold increase in IC90) driven by a range of adaptive amino acid substitutions in the vicinity of NAD/TCS-binding site of the known target enzyme enoyl- [ACP]-reductase Fab",142,NA,"august","10.1099/MGEN.0.000553",2021,"",NA,"","","Leyn S.A.; Zlamal J.E.; Kurnasov O.V.; Li X.; Elane M.; Myjak L.; Godzik M.; de Crecy A.; Garcia-Alcalde F.; Ebeling M.; Osterman A.L.","Leyn","","Experimental evolution in morbidostat reveals converging genomic trajectories on the path to triclosan resistance","","y","","article","bacteria","E coli","experimental","poolseq","experimental","0.02191781","288","experimental","10.1099_MGEN.0.000553.pdf"
"113","10.1111_eva.13656.pdf",120,"Yes","howe","yes","no","yes",NA,"no","one region showed parallel genomic differentiation, but no enriched go terms were found in the peaks, suggesting different genes under selection",53,2508,"may","10.1111/eva.13656",2024,"EVOL APPL",17,"2","NA NA wos","Howe; NS; Hale; MC; Waters; CD; Schaal; SM; Shedd; KR; Larson; WA","Howe","domestication selection; hatchery; low-coverage whole-genome sequencing; rapid adaptation; salmon; Southeast Alaska","genomic evidence for domestication selection in three hatchery populations of chinook salmon; oncorhynchus tshawytscha","y","y","","article ","vertebrate","Oncorhynchus tshawytscha","domestication; anthropogenic","WGS","historical","32","9","anthropogenic","10.1111_eva.13656.pdf"
"117","10.1111_jeb.13764.pdf",125,"Yes","selveshwari","yes","partial",NA,"yes",NA,"experimental evolution of ecoli at two different growth phases; similar genes mutated in both treatments, but different functional groups ",72,3730,"may","10.1111/jeb.13764",2021,"Journal of Evolutionary Biology",34,"6","er","Selveshwari S.; Lele K.; Dey S.","Selveshwari","antibiotic resistance; evolve and resequence; exponential phase; lag phase; UV damage","genomic signatures of uv resistance evolution in escherichia coli depend on the growth phase during exposure","y","y","","article","microbes","Escherichia coli","experimental","poolseq","experimental",NA,"7,200","experimental","10.1111_jeb.13764.pdf"
"118","10.1111_jeb.14152.pdf",126,"Yes","johnson","yes","no","no","partial",NA,"some changes in similar stress genes, but largely little overlap in snps",79,3747,"may","10.1111/jeb.14152",2023,"Journal of Evolutionary Biology",36,"3","er","Johnson S.E.; Tittes S.; Franks S.J.","Johnson","Brassica rapa; drought adaptation; experimental evolution; parallel evolution; rapid evolution; resurrection approach","rapid; nonparallel genomic evolution of brassica rapa (field mustard) under experimental drought","y","y","","article","plant","Brassica rapa","experimental","reduced representation","experimental",NA,"6","experimental","10.1111_jeb.14152.pdf"
"119","10.1111_mec.12260.pdf",127,"Yes","therkildsen","yes","no","no",NA,NA,"snp changes were largely non parallel",29,1175,"may","10.1111/mec.12260",2013,"MOL ECOL",22,"9","NA scopus wos","Therkildsen N.O.; Hemmer-Hansen J.; Als T.D.; Swain D.P.; Morgan M.J.; Trippel E.A.; Palumbi S.R.; Meldrup D.; Nielsen E.E.","Therkildsen","fisheries-induced evolution; Gadus morhua; genome scan; historical DNA; selection; temporal","microevolution in time and space: snp analysis of historical dna reveals dynamic signatures of selection in atlantic cod","y","y","","article","vertebrate","gadus morhua","anthropogenic","reduced representation","natural evol","80","9","anthropogenic","10.1111_mec.12260.pdf"
"120","10.1111_mec.13615.pdf",128,"Yes","franks","yes","no","no","no",NA,"Allele frequencies did not shift in parallel between the two populations for these 11 genes more than expected by chance (Pearson correlation r = 0.03, P = 0.85; Fig. 3b). ; few parallel genes under selection",20,880,"may","10.1111/mec.13615",2016,"MOL ECOL",25,"15","NA scopus wos","Franks S.J.; Kane N.C.; O'Hara N.B.; Tittes S.; Rest J.S.","Franks","adaptation; Brassica rapa; climate change; contemporary evolution; natural selection; population genomics; rapid evolution","rapid genome-wide evolution in brassica rapa populations following drought revealed by sequencing of ancestral and descendant gene pools","y","y","generation time 24 days from 10.1111/j.1558-5646.1995.tb04439.x","article","plant","brassica rapa","natural evolution","poolseq","historical","7","106.45","natural evolution","10.1111_mec.13615.pdf"
"121","10.1111_mec.15085.pdf",131,"Yes","rego","yes","partial","yes",NA,NA,"we found that adaptation on lentil occurred via somewhat idi_ osyncratic evolutionary changes;  parallel evolutionary changes were evident in sub_ lines formed after the lentil line had passed through a bottleneck (extreme parallelism following bottleneck r = .857)",65,3718,"may","10.1111/mec.15085",2019,"Molecular Ecology",28,"9","er","R√™go A.; Messina F.J.; Gompert Z.","R√™go","approximate Bayesian computation; Callosobruchus maculatus; evolutionary rescue; evolve and resequence; experimental evolution; parallel evolution","dynamics of genomic change during evolutionary rescue in the seed beetle callosobruchus maculatus","y","y","","article ","invertebrate","Callosobruchus maculatus","host-pathogen","reduced representation","experimental","1.15","100","host-pathogen","10.1111_mec.15085.pdf"
"122","10.1111_mec.15579.pdf",132,"Yes","langmuller","yes","partial","partial",NA,NA,"early selection is stronger and more parallel; points out that studies of parallelism probably suffer from positive confirmation bias/methodological bias",130,NA,"august","10.1111/mec.15579",2020,"",NA,"","","Langm√ºller A.M.; Schl√∂tterer C.","Langm√ºller","","Low concordance of short-term and long-term selection responses in experimental Drosophila populations","","y","","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","#N/A","60","experimental","10.1111_mec.15579.pdf"
"127","10.1111_mec.16748.pdf",137,"Yes","pfenninger","yes","yes","yes",NA,NA,"same alleles under selection during natural cold snap and laboratory cold snap",131,NA,"august","10.1111/mec.16748",2023,"",NA,"","","Pfenninger M.; Foucault Q.; Waldvogel A.-M.; Feldmeyer B.","Pfenninger","","Selective effects of a short transient environmental fluctuation on a natural population","","y","","article","invertebrate","Chironomus riparius","natural evolution","WGS","repeated","0.5 or 0.58333333","6.5","natural evolution","10.1111_mec.16748.pdf"
"131","10.1126_sciadv.aax0530.pdf",141,"Yes","retel","yes","partial","partial",NA,NA,"some parallelism observed in parasites but not hosts",119,NA,"august","10.1126/sciadv.aax0530",2019,"",NA,"","","Retel C.; Kowallik V.; Huang W.; Werner B.; K√ºnzel S.; Becks L.; Feulner P.G.D.","Retel","","The feedback between selection and demography shapes genomic diversity during coevolution","","y","","article","microbes","","host-pathogen","WGS","experimental","0.2739726 or 100","100","host-pathogen","10.1126_sciadv.aax0530.pdf"
"137","10.1128_mBio.00987-21.pdf",147,"Yes","zlamal","yes","partial",NA,"partial",NA,"mutations occurred in anywhere from 8 to 100% of replicates; Table1",140,NA,"august","10.1128/mBio.00987-21",2021,"",NA,"","","Zlamal; Jaime E.; Leyn; Semen A.; Iyer; Mallika; Elane; Marinela L.; Wong; Nicholas A.; Wamsley; James W.; Vercruysse; Maarten; Garcia-Alcalde; Fernando; Osterman; Andrei L.","Zlamal","","Shared and Unique Evolutionary Trajectories to Ciprofloxacin Resistance in Gram-Negative Bacterial Pathogens","","y","","article","bacteria","E coli; Acinetobacter baumannii; Pseudomonas aeruginosa","experimental","WGS","experimental","0.010958904","288","experimental","10.1128_mBio.00987-21.pdf"
"142","10.1186_1471-2148-13-46.pdf",152,"Yes","bedhomme","yes","no","no",NA,NA,"low level of parallel evolution; lots of divergence of sequences despite a shared environment",30,1188,"may","10.1186/1471-2148-13-46",2013,"BMC Evolutionary Biology",13,"1","NA scopus NA","Bedhomme S.; Lafforgue G.; Elena S.F.","Bedhomme","","genotypic but not phenotypic historical contingency revealed by viral experimental evolution","y","y","could not find generation time of this virus","article ","virus","tobacco etch potyvirus","host-pathogen","WGS","experimental","0.287",NA,"host-pathogen","10.1186_1471-2148-13-46.pdf"
"144","10.1186_s12862-016-0662-8.pdf",154,"Yes","plucain","yes","no","no","partial",NA,"mutations in 7 genes detected in >1 population; mutated genes were largely environment-specific in the first phase. Little parallelism/contingency in the second phase of evolution",24,977,"may","10.1186/s12862-016-0662-8",2016,"BMC EVOL BIOL",16,"1","NA scopus wos","Plucain J.; Suau A.; Cruveiller S.; M√©digue C.; Schneider D.; Le Gac M.","Plucain","Adaptation; Epistasis; Escherichia coli; Experimental evolution; Historical contingency","contrasting effects of historical contingency on phenotypic and genomic trajectories during a two-step evolution experiment with bacteria","y","y","","article","microbes","escherichia coli","experimental","WGS","experimental","0.341","1000","experimental","10.1186_s12862-016-0662-8.pdf"
"154","10.1371_journal.pbio.2001586.pdf",166,"Yes","yen","yes","partial",NA,"partial","partial","see figure 5",150,NA,"august","10.1371/journal.pbio.2001586",2017,"",NA,"","","Yen P.; Papin J.A.","Yen","","History of antibiotic adaptation influences microbial evolutionary dynamics during subsequent treatment","","y","","article","bacteria","Pseudomonas aerguinosa","experimental","WGS","experimental","0.05479452 or 0.109589041","180 or 960","experimental","10.1371_journal.pbio.2001586.pdf"
"156","10.1371_journal.pgen.1006585.pdf",168,"Yes","sanchez","yes","partial",NA,"yes",NA,"Different yeast species evolve tolerance to sulfate-limited culture through mutations in one of two sulfate transporter genes",19,845,"may","10.1371/journal.pgen.1006585",2017,"PLOS GENET",13,"2","NA scopus wos","Sanchez M.R.; Miller A.W.; Liachko I.; Sunshine A.B.; Lynch B.; Huang M.; Alcantara E.; DeSevo C.G.; Pai D.A.; Tucker C.M.; Hoang M.L.; Dunham M.J.","Sanchez","","differential paralog divergence modulates genome evolution across yeast species","y","y","","article","microbes","saccharomyces sp.","experimental","WGS","experimental",NA,"350","experimental","10.1371_journal.pgen.1006585.pdf"
"157","10.1371_journal.pgen.1009722.pdf",169,"Yes","pentz","yes","partial","no","yes",NA,"discusses forcasting; Mutated regions in proteins could be predicted in most cases (16/22), but parallelism at the nucleotide level was low and muta- tional hot spot sites were not conserved. ",144,NA,"august","10.1371/journal.pgen.1009722",2021,"",NA,"","","","","","Forecasting of phenotypic and genetic outcomes of experimental evolution in Pseudomonas protegens","","y","","article","bacteria","Pseudomonas protegens","experimental","poolseq","experimental","0.008","7200","experimental","10.1371_journal.pgen.1009722.pdf"
"158","10.1371_journal.pgen.1011333.pdf",170,"Yes","zion","yes","yes","yes","yes",NA,"adaptation to long term starvation is characterized by remarkably high parallelism and frequent historical contingency; 84% of mutations at last time point occurred in more than one replicate; good example",5,87,"may","10.1371/journal.pgen.1011333",2024,"PLOS GENET",20,"6","NA scopus wos","Zion S.; Katz S.; Hershberg R.","Zion","","escherichia coli adaptation under prolonged resource exhaustion is characterized by extreme parallelism and frequent historical contingency","y","y","","article ","microbes","escherichia coli","experimental","WGS","experimental","6","26280","experimental","10.1371_journal.pgen.1011333.pdf"
"166","10.15252_msb.20188462.pdf",178,"Yes","guzman","yes","yes",NA,"yes",NA,"song signs of parallel evolution were observed at the level of mutated genes in the replicate experiments",149,NA,"august","10.15252/msb.20188462",2019,"",NA,"","","Guzm√°n G.I.; Sandberg T.E.; LaCroix R.A.; Nyerges √Å.; Papp H.; de Raad M.; King Z.A.; Hefner Y.; Northen T.R.; Notebaart R.A.; P√°l C.; Palsson B.O.; Papp B.; Feist A.M.","Guzm√°n","","Enzyme promiscuity shapes adaptation to novel growth substrates","","y","","article","bacteria","E coli","experimental","WGS","experimental","#N/A","350 or 20","experimental","10.15252_msb.20188462.pdf"
"170","10.1534_genetics.118.301824.pdf",182,"Yes","kelly","yes","yes","yes",NA,NA,"parallel evolution of 138 snps across genome; fewer sites report significant heterogenous selection; maybe useful for methods",78,3746,"may","10.1534/genetics.118.301824",2019,"Genetics",211,"3","er","Kelly J.K.; Hughes K.A.","Kelly","Drosophila simulans; Evolve-and-resequence; Genomics","pervasive linked selection and intermediate-frequency alleles are implicated in an evolve-and-resequencing experiment of drosophila simulans","y","y","Time scale generation calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental",NA,"15","experimental","10.1534_genetics.118.301824.pdf"
"173","10.3390_genes11040400.pdf",187,"Yes","rego","yes","partial","partial",NA,NA,"we detected modest parallelism in allele frequency change across replicate lines during adaptation to lentil; good example for parallel evolution",61,3712,"may","10.3390/genes11040400",2020,"Genes",11,"4","er","R√™go A.; Chaturvedi S.; Springer A.; Lish A.M.; Barton C.L.; Kapheim K.M.; Messina F.J.; Gompert Z.","R√™go","Callosobruchus maculatus; Detoxification; Experimental evolution; Gene expression; Genome-wide association mapping; Host shift; Parallel evolution; Plant-insect interaction; Population genomics","combining experimental evolution and genomics to understand how seed beetles adapt to a marginal host plant","y","y","","article ","invertebrate","Callosobruchus maculatus","host-pathogen","poolseq","experimental","","108","host-pathogen","10.3390_genes11040400.pdf"
